compound,t.stat_CJM_4Hours,p.val_CJM_4Hours,p.adj_CJM_4Hours,t.stat_CJM_8Hours,p.val_CJM_8Hours,p.adj_CJM_8Hours,t.stat_CJM_CERS1_4Hours,p.val_CJM_CERS1_4Hours,p.adj_CJM_CERS1_4Hours,t.stat_CJM_CERS1_8Hours,p.val_CJM_CERS1_8Hours,p.adj_CJM_CERS1_8Hours,t.stat_639V_4Hours,p.val_639V_4Hours,p.adj_639V_4Hours,t.stat_639V_8Hours,p.val_639V_8Hours,p.adj_639V_8Hours
QI312,0.6511869040681961,0.551504076475076,0.997297185065356,4.466287913062862,0.01578378622287031,0.40447843224806,-1.0506781975379482,0.36282483004613614,0.564669435993162,-2.8329839593664836,0.07841296634874328,0.158558420730588,1.7274699102384161,0.18648395182600852,0.41790061595157,-1.7272581017302728,0.16223566809393805,0.51262778699907
QI307,-0.09519982582232676,0.9287469766558681,0.997297185065356,0.43126559635383166,0.6889808844954957,0.887397907799511,-1.6906143778387457,0.20014036068511523,0.406514518373084,-4.010357759364979,0.03944672768829441,0.106444927189749,2.1349259725870597,0.12711125366098266,0.334940658874751,0.011906819967590318,0.9910726066502327,0.997414476529676
QI6800,-0.7758240422430449,0.5024972286398447,0.997297185065356,-1.540133018366178,0.20973737043535495,0.887397907799511,-4.104079562049201,0.025728918006483227,0.190267336052327,-4.5090368431049725,0.020964398809918808,0.106444927189749,-4.739290181918974,0.03461287197175059,0.232715713399339,-6.117207778749506,0.01566265791577787,0.106647011156583
QI757,-3.0824257137993745,0.08542817037968989,0.997297185065356,-3.000568833149473,0.06583031943344103,0.677879638021474,-12.154216848437942,8.473652889189929e-4,0.0229618816973623,-12.510202276816683,9.015315666518187e-4,0.0313038298533084,-20.73080500030731,4.0631822655017274e-4,0.014169906500691,-83.51858667150462,6.876533545437894e-5,0.00368536407060831
QI7206,-2.5099382553719916,0.12315708600116936,0.997297185065356,-1.9523130012966847,0.13567755106764942,0.84445503604776,-13.521531173909684,2.5501098892007063e-4,0.0130283002683305,-21.067601278714935,5.955526827768471e-5,0.00929610747943205,-28.01118205317539,2.9267024898998144e-4,0.0121632542339308,-36.348152450376105,1.9366617744362246e-4,0.00672465978041254
QI7135,-3.0848008744165076,0.08152978866378302,0.997297185065356,-2.6723956490463254,0.08721366921691075,0.740652353699708,-8.435821335360561,0.0030276966487798175,0.0477115025930509,-6.89762907703768,0.005417594808047415,0.0775973713488363,-19.91537656877245,0.0019565397766420894,0.0377245325683803,-17.80401717842626,0.0029974407507596655,0.0352528918795356
QI7168,-1.4664664040714865,0.2243634486221977,0.997297185065356,-3.620883039622248,0.04289442463999353,0.597644895234209,-5.6933741275747645,0.009038539134663914,0.0975748619100124,-9.780289722396182,0.0016575194879411216,0.0432557178910788,-10.884243948560659,0.0026327975715208555,0.0454454139029994,-21.50940231984116,2.7797132145773675e-5,0.00208374576580608
QI907,-2.746916767552562,0.1104171904165986,0.997297185065356,-2.4870162085950804,0.06865149289582258,0.690217705441366,-12.96036302081236,2.8880998478648766e-4,0.0137889576665025,-25.002374805077608,5.8118140335096484e-5,0.00929610747943205,-27.584763637011864,8.320037256304507e-5,0.00598942054149255,-75.20397646784369,7.172115321157387e-5,0.00378470638098707
QI7016,-4.304521243956044,0.04383983563110116,0.913348887265097,-2.6945290178580343,0.08713398798359324,0.740652353699708,-7.363249763370774,0.006193233465518981,0.0771365304765959,-5.051758268880428,0.028732532362657957,0.106444927189749,-12.447027415663717,0.0017826735976978552,0.0356228166396252,-10.261476713268918,0.00843380244060076,0.0697397210062461
QI7188,-1.725607699459288,0.20139691585895966,0.997297185065356,0.7915192422578089,0.4974824352578148,0.887397907799511,-19.61978315041805,3.7445295434336236e-4,0.0152461276486706,-44.2323459063616,3.0051871270297265e-4,0.0186857410433375,-19.719798453579774,0.002319833301195973,0.0420981513775857,-21.304369595606865,9.029142296097805e-4,0.0155817089853459
