compound,cjm_dmso_4hr_01,cjm_dmso_4hr_02,cjm_dmso_4hr_03,cjm_dmso_8hr_01,cjm_dmso_8hr_02,cjm_dmso_8hr_03,cjm_dmso_24hr_01,cjm_dmso_24hr_02,cjm_dmso_24hr_03,cjm_brd_4hr_01,cjm_brd_4hr_02,cjm_brd_4hr_03,cjm_brd_8hr_01,cjm_brd_8hr_02,cjm_brd_8hr_03,cjm_brd_24hr_01,cjm_brd_24hr_02,cjm_brd_24hr_03,639_dmso_4hr_01,639_dmso_4hr_02,639_dmso_4hr_03,639_dmso_8hr_01,639_dmso_8hr_02,639_dmso_8hr_03,639_dmso_24hr_01,639_dmso_24hr_02,639_dmso_24hr_03,639_brd_4hr_01,639_brd_4hr_02,639_brd_4hr_03,639_brd_8hr_01,639_brd_8hr_02,639_brd_8hr_03,639_brd_24hr_01,639_brd_24hr_02,639_brd_24hr_03,blank_01,blank_02,blank_03
LPC(19:0)[M+FA-H]-,96502.84,105113.4,114903.5,63534.54,68428.65,72375.98,40436.8,37385.71,39913.49,121110.7,106809.7,85050.4,77875.26,73874.66,70588.58,47359.87,44128.92,51217.55,74759.6,84289.59,81120.62,69496.59,71934.42,58144.56,20033.16,27313.24,26982.2,108666.9,121894.6,112050.6,128043.7,135680.3,106622.9,125915.4,142729,125867.8,1427.3,0,0
LPC(20:4)[M+FA-H]-,380667.5,439218,481529.5,212091.8,237436.8,214199.6,71138.27,41923.76,48207.82,628318.8,350638.7,240888,408048.7,249879.3,316907.8,37571.69,60409.69,60318.2,399944.6,479285.7,536229.1,204959.6,238320.5,401417.9,109138.7,98178.12,305103,1108741,1354673,1082348,1193130,1049930,1306934,1029039,1561679,1879663,0,0,0
LPC(18:1)[M+FA-H]-,1690995,1558465,1909103,1167273,2897763,1204743,2855883,3126978,1440008,4650139,1783486,1423553,737401.2,1559304,2089725,1877316,1227336,1473146,2455991,5367900,1961708,2363182,2215474,2406012,1961857,1360551,3067010,1.06E+07,6082448,8328972,1.22E+07,1.35E+07,8171534,2.45E+07,2.84E+07,1.60E+07,0,787.1293,1279.629
LPC(20:0)[M+FA-H]-,177198,157929,176526.4,113598.4,124178.9,139793.3,75926.05,95066.03,104979.8,205475.6,173257.4,147707,123681.5,142483,127649.6,152588.4,108661.6,134012.7,132115.8,122030.6,140268.3,124702.2,133312.3,92680.9,64388.18,84590.26,73371.35,185991.4,218886.9,207243.5,268725.9,225411.7,243457.8,361417.5,325100.1,317513.3,3384.854,0,0
LPC(20:4)[M+Cl]-,12498.11,10913.37,5036.467,3666.9,4549.287,4043.16,0,0,950.5705,8420.773,9419.602,4910.998,10427.31,2173.934,3839.422,0,0,0,7103.037,10118.14,13202.71,1725.688,3867.442,13156.9,2128.194,0,9227.798,26699.74,23309.66,24706.21,24800.79,24497.92,33735.57,24819.77,45291.04,53883.46,805.0518,0,0
LPC(22:1)[M+FA-H]-,34858.57,43291.8,43753.58,25366.81,29140.7,29954.17,25073.13,33473.34,26553.68,51132.05,36058.16,33895.74,34673.07,31364.62,27677.35,34535.22,32688.41,33240.4,20912.62,22044.49,19493.06,21567.2,24790.01,17553.56,19532.38,23227.49,27084.24,89643.94,105122.7,114392.6,193530.8,200018.6,177046.6,295144.4,297272.8,305222,0,0,0
LPC(16:1)[M+FA-H]-,434126.5,486936.6,548775.1,337398.3,379516.4,404345.8,291234.7,192858.3,296672.7,515036.4,383218.6,327466.2,666553,401434.6,548043.6,218724.4,309328.3,370771.6,392535.9,438722,547181.6,295480.7,333366.6,401565.8,262896.9,293207.5,659964.1,1278743,1428252,1176061,1680303,1320990,1762784,2024306,2797874,2761375,740.1738,862.0467,854.9771
LPC(16:0)[M+Cl]-,169355.8,148738.7,176477.4,100758.5,103245.5,92473.46,79221.36,71539.27,99914.37,209085.3,132227.7,116546,152429.7,114736,114749.9,112608.6,85055.95,107405.9,126556.4,111187.4,127701.5,111294.5,119608.5,99307.96,60546.73,94961.38,98651.02,283708,273501.9,272121,352925.1,346545.5,402023.2,403667.7,438780.8,422930.6,936.7605,597.6839,589.1664
LPC(14:0)[M+FA-H]-,120443.2,141882.4,208456.8,102608.8,110061.9,116440,77827.28,69479.87,100058.4,198566.4,121895.3,117465.6,175030.2,127558.3,132871.8,89331.98,91509.12,105749.2,141109.7,147061.4,175328.2,138705.9,134116.6,147302.2,98176.19,133465.2,199306.2,355215.7,430902.3,378327.4,524512.9,505062.9,586704.3,545326.4,675835.6,712132.6,866.8786,1164.074,601.3275
LPC(16:0)[M+FA-H]-,5051440,5770808,6797170,3578876,4001426,4037787,3129982,2836207,3609420,8322946,5429392,4670742,5315212,4723716,4632154,3852004,3395090,4159168,4774956,4814164,5117418,4369430,4666996,3528096,2275898,3978753,3907678,9769225,1.19E+07,1.08E+07,1.48E+07,1.40E+07,1.65E+07,1.58E+07,1.70E+07,1.79E+07,1306.162,2014.352,3316.786
