compound,cjm_dmso_4hr_01,cjm_dmso_4hr_02,cjm_dmso_4hr_03,cjm_dmso_8hr_01,cjm_dmso_8hr_02,cjm_dmso_8hr_03,cjm_dmso_24hr_01,cjm_dmso_24hr_02,cjm_dmso_24hr_03,cjm_brd_4hr_01,cjm_brd_4hr_02,cjm_brd_4hr_03,cjm_brd_8hr_01,cjm_brd_8hr_02,cjm_brd_8hr_03,cjm_brd_24hr_01,cjm_brd_24hr_02,cjm_brd_24hr_03,639_dmso_4hr_01,639_dmso_4hr_02,639_dmso_4hr_03,639_dmso_8hr_01,639_dmso_8hr_02,639_dmso_8hr_03,639_dmso_24hr_01,639_dmso_24hr_02,639_dmso_24hr_03,639_brd_4hr_01,639_brd_4hr_02,639_brd_4hr_03,639_brd_8hr_01,639_brd_8hr_02,639_brd_8hr_03,639_brd_24hr_01,639_brd_24hr_02,639_brd_24hr_03,blank_01,blank_02,blank_03
"PC(16:0,22:6)[M+FA-H]-",8433411,9098258,9716848,9156193,1.02E+07,9815493,3111184,8662621,7449424,7695376,8158336,8470796,9597496,9401368,8697763,8497003,7768658,7998822,1.16E+07,1.21E+07,1.37E+07,1.39E+07,1.46E+07,1.25E+07,9276543,1.17E+07,1.16E+07,9971223,1.11E+07,1.08E+07,1.36E+07,1.30E+07,1.21E+07,1.83E+07,1.88E+07,1.94E+07,0,1021.494,1094.674
"PC(11:0,12:0)[M-H]-",200409.6,244169.8,207116.2,185464.7,207226.2,162978.4,95517.62,138041.1,124427.9,242464.6,251967.6,193336.4,195856.9,199737.1,164509.8,114417.6,115731.8,113423,244954.7,220243.1,186809.7,209924.2,204930.6,173515,121741.1,142441.7,142949.3,197789.8,239495.4,234715.9,253658.6,246273.4,187570.4,351796.3,341945.3,317006.2,0,0,0
"PC(15:0,16:0)[M+FA-H]-",4723072,4878208,5117040,4465940,4835460,5139834,3443342,5325524,4802076,4976808,4960692,5396054,5187586,5431662,4893325,5242674,4973598,4991152,4526248,4981318,5387844,5282010,5711658,4772490,4090676,4918444,5091274,5311674,5854770,5629210,6657518,6217240,5761146,6621138,6676278,6746948,0,0,0
"PC(18:1,22:6)[M-H]-",1.50E+07,1.63E+07,1.69E+07,1.22E+07,1.44E+07,1.28E+07,3440381,5992652,5114746,1.40E+07,1.61E+07,1.65E+07,1.40E+07,1.51E+07,1.38E+07,6147180,5415061,5557728,1.02E+07,1.06E+07,1.19E+07,1.11E+07,1.18E+07,9595595,4593118,6157322,6120212,1.16E+07,1.33E+07,1.30E+07,1.46E+07,1.32E+07,1.18E+07,1.32E+07,1.35E+07,1.37E+07,1693.703,1122.282,994.9606
"PC(18:1,18:1)[2M+FA-H]-",1429262,1554907,1585563,1154419,1432643,1273437,517768.6,1048621,1035479,1458226,1461025,1527065,1438898,1426923,1231289,1045204,1031916,1150679,662416,609892.9,773438.1,630931.1,736889.4,568099.2,474311.8,500640.7,530960.4,448615.8,603163.9,538364.5,420198.5,377730,362451.9,477855.3,536015,518729.8,1577.671,0,2969.342
"PC(20:5,22:6)[M+FA-H]-",1932971,2147922,2445559,1096386,1189500,1023889,58669.86,94879.85,91723.6,1422504,1937182,1947627,1082616,1265151,1073410,102051.2,87657.5,89229.59,1746102,1900354,2101335,1329672,1389290,1127153,87729.03,109476.1,91475.44,1617793,1783508,1734287,1862361,1571690,1335192,1510372,1342744,1497142,0,0,0
"PC(16:0,19:1)[M+FA-H]-",7674338,8004684,8372724,6987570,8025438,7363114,3677306,8074246,7551044,8059006,7797338,8360070,8117138,8665617,7980036,8426345,7903998,8058464,6365630,6606910,7246026,7181662,7504362,6035882,5723452,7501556,7540782,6563004,7341136,7086754,7931940,7270648,6890254,8283244,9436329,8888149,2143.893,0,981.6552
"PC(16:0,16:0)[M-OH]-",1489912,1649493,1636214,1416272,1581140,1462373,813522.8,1574964,1344396,1582685,1476116,1634302,1546684,1657002,1388128,1524178,1460026,1593378,1350570,1552514,1480572,1369761,1477608,1187478,1164262,1330918,1281106,1590245,1787391,1627932,1747312,1748482,1567850,1977897,1938273,2194975,4329.55,0,0
"PE(18:0,18:2)[M-H]-",1.16E+07,1.24E+07,1.28E+07,1.09E+07,1.26E+07,1.19E+07,5750694,1.14E+07,1.05E+07,1.15E+07,1.29E+07,1.33E+07,1.26E+07,1.34E+07,1.26E+07,1.23E+07,1.10E+07,1.18E+07,1.24E+07,1.34E+07,1.46E+07,1.41E+07,1.56E+07,1.19E+07,9962884,1.40E+07,1.37E+07,1.18E+07,1.34E+07,1.26E+07,1.40E+07,1.25E+07,1.18E+07,1.44E+07,1.64E+07,1.52E+07,4303.807,1080.474,1208.543
"PE(18:1,18:1)[M-H]-",2365385,2312374,2302696,2413432,2232099,2252479,1252290,2242026,2073164,2294409,2280462,2303139,2375324,2335110,2281969,2216021,2199719,2207130,3113665,3121770,2922448,3013846,3017154,2786968,2839158,2952372,2894669,2990550,2933167,2915319,2896653,2570895,2516078,1951718,2041407,1896442,18046,3970.941,2154.045
"PE(16:0,18:1)[2M-H]-",376826.4,390656.9,390810.2,331486.2,367265.7,321108.8,185883.9,380212.5,341619.5,382067.8,353482.3,406695,391823.1,421223.8,333803.2,385930.6,366276.6,354265.5,532885.3,526910.3,709562.8,599659.2,697710,522525.2,449604.3,664469.2,710443.5,494259,552263,519819.5,639751,541131.8,533289.5,533389.2,610520.8,576903.4,1160.441,2441.341,0
"PE(16:1,16:1)[M-H]-",1077919,1085862,1100913,792077.1,918163.3,846684.8,355108.1,763389.9,710684.2,925109.2,1092398,1115833,968670.2,1005530,950537.3,755048,714763.5,812025,299278.1,375440.7,433877.2,426039.4,414122.7,294979.3,219745.1,275464.9,328154.1,262455.2,312915.4,370636.7,322590.8,277029.6,231321,550811.1,685945.9,566142.2,6505.633,7847.311,7270.026
"PE(18:0,20:5)[M+NaO2CH-H]-",1583188,1544834,1638353,1615918,1631502,1559260,823181,1616566,1572354,1454510,1557923,1573258,1664478,1598326,1558711,1613720,1677964,1615542,1406807,1385900,1486218,1649009,1611063,1438364,1471103,1557231,1556346,1555255,1494446,1501243,1772986,1709065,1619030,1997818,2107024,2011259,3539.101,0,0
"PE(18:1,20:5)[M+NaO2CH-H]-",973017.5,985593.5,994321.5,901892.5,904960,995445.5,344584.2,848477.2,861155.5,823485.1,1000011,985706.6,989779.5,982140.7,911499.5,910702.2,780303.9,911389.3,1058507,1044560,1058888,1118150,1022523,938496.3,846003.9,1038717,1042178,1189753,1232469,1317161,1472088,1399684,1239494,1365676,1479628,1363303,0,0,0
"PE(16:0,16:1)[M-H]-",2740624,3009003,2829549,2638148,2524002,2639711,792467.8,1905033,1817835,2100152,3137002,3374318,3267297,3555174,2495698,2322531,2327012,2187899,3049550,3833003,4949336,4326558,4565762,3054313,2953166,3987185,4086840,3503417,4235836,4623398,6224866,5559048,4105614,7153012,7498070,8831769,0,0,0
"PE(18:1,20:0)[M-H]-",1064773,1078818,1207524,944957.2,1117071,1024696,451359.1,1048272,975824.8,946575.1,1058608,1088579,1121398,1186173,1098270,1122611,994992.1,1077446,1993482,2020340,2420739,2206566,2413406,1846325,1466622,2099462,2208057,1801054,2194298,2075169,2224235,1841232,1661950,1840278,2174152,1940599,0,0,0
"PE(20:4,24:0)[M-H]-",1017358,1122444,2117840,985381.2,1790146,1108050,788563.8,1780872,1351735,1584084,1844380,1120489,1971681,2029510,888704.8,1846629,1735646,1054863,395803.2,483792.5,318671.4,435810.8,552428.8,217864.3,466755.2,524587.2,568071.3,505158.7,591931.1,304719,764661.6,778372.6,518077.5,1167940,1165069,757262.9,4900.567,0,0
"PE(18:1,20:4)[2M-H]-",142396.2,123480.5,126898.9,117671.6,122401.9,134725.6,73892.24,109087,104483.9,90827.02,126939.2,150778.8,143447.7,144244.7,104586.2,118944,92924.32,117580.4,240160.7,283887.6,329698,267175,343193.9,243628.8,217178.8,307130.8,308853.7,375020.8,447962.5,417243,542118.1,482019,429281.9,485510.2,446732.4,499434.2,0,0,0
"PE(18:1,22:6)[M+NaO2CH-H]-",288991.7,308595.2,306906.7,288475.8,287551.7,0,0,211400.4,238359.4,267087.6,300008.5,334489.3,260862,295630.3,297786.2,217143.2,285769.8,0,652553.4,616315.8,635374.6,692290,0,629392.9,530444.8,572999.5,505731.8,753989.8,732468.9,737064.8,713850.8,834928,736200.2,774986.8,662065.7,701335.6,0,0,0
"PE(20:5,24:0)[M-H]-",483630.5,443404.6,675073.3,456889.7,721267.8,406014.6,344197.6,614571.5,659497,594824.2,693882.6,423019.5,775993,773407.1,529595.3,775817.3,736164.2,456548.2,181808.7,189108.7,152280.6,208396.1,237999.6,91153.65,187358.4,237499.2,180660.8,257702.9,274726.1,152341.4,384464.2,300849.5,223455.2,535327.8,582606.4,532373.1,0,0,0
"PE(16:1,17:1)[M-H]-",473721.3,456593.5,493487.5,401202.8,443370.2,416369.7,171070.5,366779.4,312045.7,404529.9,471416,517403.3,429616.1,429820.2,442108.8,349809,330285.7,342028.5,178679.7,214513.1,206314.8,218598.6,233430.7,164682.3,119463.3,178584.5,200847.8,150606.4,206637.3,184801.1,182685.6,165674.2,167288.9,210094.9,285333.6,222334.7,40124.11,0,0
"PE(16:0,20:4)[M-H]-rt:21.60",1162139,1518912,1419046,1367253,1132055,1378243,261115.4,930601.8,876166.3,945475.8,1449051,1238095,1371233,1539420,1280509,1125678,1137813,1105677,1326986,1464342,1698169,1698896,1834566,1172340,1188908,1769106,1612011,1501451,1841079,1901229,2572398,2722834,1711674,3796669,3701654,4137445,1777.681,0,0
"PE(18:0,18:1)[M+NaO2CH-H]-",4653234,4485002,4602324,4465014,4485850,4498439,1425358,4624328,4379562,4550050,4576972,4577782,4737534,4647036,4475836,4816456,4316676,4518636,5186426,5003854,5083282,5264748,5360378,4956632,4875102,5024290,4923498,5056842,5074788,5096942,5091898,5061204,4820501,4845852,5113254,4736096,1871.682,1024.108,0
"PE(18:1,24:0)[M-H]-",3253650,3154750,6299964,3181717,6112446,2618913,2399955,5674680,4731692,5215674,5928574,2341849,6141272,6630192,3139179,6251408,5735260,3417557,2140136,2319713,1635339,2319979,2700637,1474497,2255293,2823996,2533608,1860312,2137228,1592166,2240462,2124731,1365134,2558469,2938802,1451682,3775.521,0,2295.327
"PE(16:0,22:6)[M+NaO2CH-H]-",253261.6,263259.9,261112.3,318185,257335.8,318283.9,106132.1,283094.7,234148.8,230575.5,224758.9,281396.2,297423.3,241908.3,266670,257764.6,238228.7,267706.9,570840.9,635837.7,590223.7,568333.7,748487.8,666753.3,535391,656634.4,530871.8,577196.1,487438.8,465190.5,434110.3,454316.7,436440.5,419034.4,346042.4,407625.3,0,0,0
"PE(14:0,16:0)[M-H]-",483367,562590.7,613782.9,482367.8,550429.9,521830.5,286011.6,725814.2,598074.8,582370.9,557400,556300.8,566013.9,556870.2,555914.3,660460.4,592670.2,608127.2,663182.5,796476.3,818423.8,810354.2,884997.6,805251,603680.6,883968.8,904937.3,610958.8,724251,702801.5,767627.7,765867.4,748821.6,627797.7,884070.6,878842.2,0,0,0
"PE(18:0,18:0)[M-H]-",2015575,2109457,2129270,1845662,2239490,1972413,1145160,2135778,1981019,2207827,2087087,2202020,2122773,2177757,2027380,2191501,2079707,2059998,1583941,1480322,1688327,1690642,1669187,1361373,1335205,1545286,1607646,1809466,2125983,1911939,2634688,2304669,2086552,3246964,3419514,3202134,1301.354,0,0
"PE(18:0,22:5)[M-H]-",1043568,1016578,1053489,1125418,1060254,1090122,466478.5,1081270,1123116,1003356,1068169,1100240,1164436,1114194,992384.8,1177899,1091517,1160578,1459870,1384040,1372627,1541945,1570421,1504848,1533079,1584370,1545998,1373805,1323246,1343526,1398416,1329586,1299821,1318056,1285060,1239062,1645.486,0,0
"PE(22:6,24:0)[M-H]-",461286.5,464148.1,858325.9,478761.5,876725.1,405295.5,372770.6,835276.7,739247.8,654870.3,801491.5,337897.9,844005.3,862643.3,420326.1,955240.3,844831.7,468773.3,297861.4,327303.5,225932.3,323899.9,404887.8,165423.7,363493.2,482804.7,287693,286783.7,331396.2,158187,440281.8,438350.8,239570.6,726216.9,776531.7,631426,0,0,0
"PE(20:4,22:0)[M-H]-",787910.3,1003117,1043140,819035.8,989234.9,676343.3,392536.1,890462.5,783928.4,871960.1,1022834,574027.4,1032923,999515,677440.8,984523.7,823721.1,689665.7,688371.2,684071.2,831017.8,737401.3,889470.1,647644.5,622580.6,863272.8,880196.8,801501,909970.3,858225.5,1070214,925305.6,925049.2,1183549,1286601,1231085,11154.61,0,0
"PE(16:1,18:1)[M+NaO2CH-H]-",541002,506336.5,472632,472492.4,473817.7,490644.5,249617,491511.1,464711,453156.4,548280.7,506357.1,487682.7,466151.9,448564.9,482660.7,482722.3,504306.9,330737,340420.7,343555.4,274622.7,294323.7,293800.5,304797.3,339330.5,330875.4,259870.6,264247,292804.8,234687.8,219085.4,209611.5,218823.4,232573,184775.1,1795.293,0,0
"PE(16:0,18:2)[M+NaO2CH-H]-",527976,503715.9,499117,388899.8,474535.8,486367.4,164871.9,456014.1,339711.9,414640.8,631193.4,591846.7,556403.7,599353.7,426970.4,419669.5,488445.2,377820.2,503791,541031.4,477843.6,503185.1,495657.2,442446.5,470958.6,522111,410768.4,414146.1,452982.2,487604.9,558757.9,491063.2,412474.3,526309.7,443442.3,512184.1,0,0,0
"PE(16:0,18:2)[M-H]-",2.18E+07,2.63E+07,2.78E+07,2.56E+07,2.49E+07,2.78E+07,7599732,1.69E+07,1.67E+07,2.11E+07,2.70E+07,2.77E+07,2.97E+07,2.89E+07,2.12E+07,1.95E+07,1.97E+07,1.82E+07,2.29E+07,2.38E+07,2.71E+07,2.61E+07,2.87E+07,1.85E+07,1.64E+07,2.38E+07,2.41E+07,1.97E+07,2.87E+07,2.56E+07,3.05E+07,2.99E+07,2.43E+07,3.21E+07,3.68E+07,3.93E+07,2995.002,0,0
"PE(16:1,18:1)[M-H]-",1.94E+07,2.01E+07,2.08E+07,1.59E+07,1.86E+07,1.87E+07,8690633,1.64E+07,1.54E+07,1.76E+07,2.05E+07,2.10E+07,1.92E+07,2.05E+07,1.85E+07,1.61E+07,1.60E+07,1.68E+07,1.31E+07,1.44E+07,1.51E+07,1.28E+07,1.45E+07,1.17E+07,1.01E+07,1.27E+07,1.35E+07,1.18E+07,1.30E+07,1.27E+07,1.09E+07,1.08E+07,1.04E+07,1.10E+07,1.43E+07,1.16E+07,32826.01,31239.76,28349.76
"PE(16:1,18:2)[M-H]-",776389.5,898915,866520,711216.7,757283.5,768149.4,271819.5,578866.9,539038.8,726348.5,873195.9,863288.5,818557.3,849409.4,751564.6,606025.3,575373.5,615115.8,366094.7,391576.4,439374.8,375330.8,463904.8,359295.7,261584,361291.2,337781.5,354612.8,481782.2,474465.9,569864.6,509801,413740.2,551141.4,822822.4,675680.8,6276.105,0,0
"PE(16:0,18:1)[M+NaO2CH-H]-",1798236,1640876,1641542,1707756,1684164,1696270,903065.8,1746493,1601162,1746584,1707704,1731096,1775156,1759925,1654070,1727188,1631619,1677647,1723218,1645612,1783755,1905641,1868026,1769013,1817866,1911601,1887663,1791700,1680196,1701145,1855674,1840754,1713284,1713508,1768702,1665052,4038.801,0,0
"PE(18:1,19:1)[M-H]-",1624132,1800800,1940293,1437917,1751576,1622354,639118.6,1560470,1350742,1584732,1834510,1970034,1826924,1917414,1682675,1640411,1408275,1499308,2752305,2936164,3333485,3079227,3373271,2419352,1917431,2671866,2745923,2889127,3439820,3176201,3258065,3005034,2692738,2768385,3371766,2890626,2696.056,0,0
"PE(16:0,18:1)[M-H]-",5.25E+07,5.70E+07,5.75E+07,4.84E+07,5.34E+07,5.24E+07,2.87E+07,5.36E+07,4.93E+07,5.20E+07,5.59E+07,5.92E+07,5.54E+07,5.81E+07,5.39E+07,5.41E+07,5.28E+07,5.38E+07,6.41E+07,6.77E+07,7.41E+07,7.15E+07,7.38E+07,6.30E+07,5.79E+07,7.30E+07,7.53E+07,6.45E+07,6.95E+07,6.93E+07,7.40E+07,6.77E+07,6.50E+07,6.60E+07,7.52E+07,6.89E+07,8475.503,5016.627,10717.36
"PE(14:0,22:6)[M-H]-",111949.1,132673.5,135275.2,102981.6,125399.3,110038.9,76367.24,116915.7,111747.1,97859.9,116936.8,115352.3,117765.5,117139.4,107667.1,123486.6,112981.1,124633.2,432496.6,427957,471066.4,463713.6,547795.8,363592.5,224104,291795.1,294649.1,311241.2,329682.9,289937,283399.7,301487.8,241265.5,301985.4,346188.2,342689.3,0,0,0
"PE(18:0,20:4)[2M-H]-",874639.5,869407.9,904486.6,815738.5,910343.4,839488.5,347419,857865.2,774408.2,733380.2,923534.1,933858.7,964876.5,945776.8,866891.6,873995.9,744555.3,802397,756542.3,811824.2,916632.8,937491.5,933393.3,782733.4,679400.9,890693.8,954640.4,845453.7,845758.5,894570.5,1241389,1062359,1014196,1437864,1403200,1455489,0,0,0
"PE(16:0,18:0)[M-H]-",1042794,1146226,1216141,1002442,1229128,1091339,563378.3,1368021,1296257,1136087,1246147,1255381,1154677,1228541,1168287,1270126,1266084,1377981,1384632,1502851,1622872,1647585,1778494,1450589,1212447,1593824,1583726,1181516,1323465,1259255,1322836,1294608,1218765,1504464,1657421,1614995,0,805.947,0
"PE(17:0,18:1)[M-H]-",7076714,7590774,7794518,6478782,7897626,7263848,2998991,7744634,7042924,7304036,7838274,8008960,7371790,8330360,7692606,7701012,7558894,7778290,4978170,5500186,6150580,5774920,6427906,5169688,4569862,6027264,6546006,5234070,5698022,5721220,6191060,5983594,5292892,5647432,6794208,6129200,0,0,0
"PE(17:1,18:1)[M-H]-",4440935,4870650,4841928,4026716,4716266,4225694,1674178,4238728,3803023,4374498,4728568,4829608,4852886,4754252,4524828,4288302,4006802,3928670,4151379,4269726,4839498,4345592,4802228,3675024,3344976,4370548,4602156,3811222,4409444,4027071,4006393,3486358,3220742,2714613,3358653,2784074,0,0,0
"PE(18:0,18:1)[2M-H]-",1395292,1480600,1537035,1225534,1479576,1373835,524596.6,1527807,1339357,1374263,1506774,1563252,1577983,1567242,1367580,1577356,1414685,1515393,1965458,2074838,2448689,2323347,2497565,1909353,1445670,2105676,2218293,1992576,2174528,2178481,2184466,2192894,2068268,2242528,2769364,2416578,1387.235,0,0
"PE(16:0,20:4)[M-H]-rt:20.60",1.51E+07,1.64E+07,1.62E+07,1.41E+07,1.64E+07,1.63E+07,8174646,1.50E+07,1.38E+07,1.35E+07,1.62E+07,1.65E+07,1.63E+07,1.72E+07,1.60E+07,1.50E+07,1.49E+07,1.56E+07,1.69E+07,1.79E+07,1.94E+07,1.80E+07,2.03E+07,1.69E+07,1.57E+07,1.99E+07,2.03E+07,1.79E+07,1.92E+07,1.95E+07,2.19E+07,2.17E+07,2.09E+07,2.32E+07,2.48E+07,2.49E+07,5774.789,0,0
"PE(17:0,20:4)[M-H]-",1724182,2000982,2056704,1759526,2059411,1964697,1125339,2021559,1815828,2066602,2057838,2170949,1942736,2115977,2013339,1842861,1758615,1880757,1677841,1729474,1626449,1834916,2078920,1633697,1555312,1917032,1895181,1781412,1975336,2000072,2557473,2342657,2086348,2396778,2751192,2453537,0,0,0
"PE(16:0,22:6)[M-H]-",1.25E+07,1.39E+07,1.48E+07,1.25E+07,1.48E+07,1.32E+07,4782259,1.43E+07,1.18E+07,1.17E+07,1.34E+07,1.28E+07,1.36E+07,1.38E+07,1.23E+07,1.39E+07,1.22E+07,1.37E+07,3.28E+07,3.46E+07,3.68E+07,3.65E+07,4.19E+07,3.33E+07,2.52E+07,3.09E+07,3.15E+07,2.58E+07,3.15E+07,2.95E+07,3.31E+07,2.88E+07,2.69E+07,3.51E+07,3.73E+07,3.72E+07,2272.917,892.7016,0
"PE(18:1,22:6)[M-H]-",2.11E+07,2.67E+07,2.57E+07,2.03E+07,2.40E+07,2.35E+07,8758730,2.37E+07,2.05E+07,1.98E+07,2.37E+07,2.74E+07,2.45E+07,2.53E+07,2.32E+07,2.26E+07,2.00E+07,2.34E+07,3.51E+07,3.98E+07,4.08E+07,4.19E+07,4.56E+07,3.75E+07,2.79E+07,3.69E+07,3.76E+07,4.68E+07,5.16E+07,4.76E+07,5.36E+07,5.31E+07,4.67E+07,6.15E+07,6.42E+07,6.06E+07,0,0,0
"PE(16:0,16:0)[M-H]-",992128.8,1154739,1224591,1033081,1205745,1187040,596202.1,1404424,1317932,1124849,1168494,1255306,1176021,1174165,1238995,1341293,1323160,1347500,1181294,1155636,1325213,1347981,1409782,1219971,1122050,1343865,1364859,1113270,1284586,1238410,1456775,1444669,1322610,1684679,1834533,1833734,1226.623,0,0
"PE(18:0,22:6)[M-H]-",5.12E+07,6.16E+07,5.71E+07,4.92E+07,5.91E+07,5.82E+07,4.00E+07,6.49E+07,6.34E+07,4.39E+07,5.53E+07,5.77E+07,5.63E+07,5.73E+07,5.74E+07,6.21E+07,6.21E+07,6.45E+07,5.88E+07,6.61E+07,7.31E+07,7.08E+07,7.99E+07,6.42E+07,6.07E+07,7.75E+07,7.73E+07,6.34E+07,6.88E+07,7.22E+07,7.99E+07,7.69E+07,7.53E+07,8.80E+07,1.01E+08,9.51E+07,0,0,0
"PE(16:0,20:4)[M+NaO2CH-H]-",379147,379282.1,392427.7,423782.5,344864.7,415665.6,252156.9,437154.7,420582.8,421410.8,389830,389724.9,400359.9,406424.8,398035.7,453116.5,394390.2,412589.7,450313.7,375678.2,428298.5,376355.6,442818.2,457996.5,481416.1,547045.4,502178.9,424438,425795.2,377868.1,490138,433879.2,418150.1,377376.3,423556.6,441273.1,0,0,0
"PG(18:0,18:1)[M-H]-rt:22.0",8872888,9584660,9639842,8286800,9362337,5967166,3929285,5431384,7803014,3089122,1.01E+07,1.09E+07,9757761,1.02E+07,9078500,9274221,5759564,5730460,9648159,1.02E+07,1.03E+07,1.08E+07,1.18E+07,9124939,8090776,9606063,9339043,1.09E+07,1.16E+07,1.16E+07,1.37E+07,1.31E+07,1.22E+07,1.42E+07,1.66E+07,1.53E+07,0,0,0
"PG(18:1,18:1)[M-H]-",1.65E+07,1.98E+07,2.00E+07,1.81E+07,1.91E+07,2.04E+07,3935883,1.21E+07,1.15E+07,5762742,2.05E+07,1.99E+07,2.09E+07,2.01E+07,1.75E+07,1.26E+07,1.26E+07,1.23E+07,2.52E+07,2.56E+07,2.73E+07,2.91E+07,3.00E+07,2.10E+07,1.54E+07,2.58E+07,2.25E+07,3.07E+07,3.79E+07,3.72E+07,4.15E+07,3.77E+07,3.44E+07,5.99E+07,6.14E+07,5.60E+07,0,0,0
"PG(18:0,18:1)[M-H]-rt:25.1",2.35E+07,2.51E+07,2.55E+07,2.15E+07,2.44E+07,2.33E+07,8765225,2.31E+07,2.18E+07,1.42E+07,2.43E+07,2.57E+07,2.42E+07,2.47E+07,2.42E+07,2.46E+07,2.26E+07,2.37E+07,1.94E+07,2.02E+07,2.17E+07,2.19E+07,2.26E+07,1.85E+07,1.77E+07,2.28E+07,2.18E+07,1.69E+07,1.82E+07,1.74E+07,1.70E+07,1.58E+07,1.46E+07,1.88E+07,2.00E+07,2.04E+07,0,0,0
"PG(14:0,16:0)[M-H]-",547695.2,616503.6,568910.5,442649.8,585445.1,542509.6,313113.4,1053618,971215.5,560282.1,580456.9,577811.3,551335.6,576023,556600.6,1042452,897864.2,1059463,96642.88,124629.8,133943.9,108662.5,125291.1,109635,96524.23,155257.3,187179.7,70865.66,96430.88,92187.15,109774.2,70957.29,79952.45,100331.1,120826.2,109563.9,0,0,0
"PG(16:0,20:4)[M-H]-",427763.6,551596.2,565352.6,380840.3,507424.8,461838.5,140441.1,408101.9,394300.8,412675.2,515680.4,473396.1,473903.2,569394.4,466153.1,412734.6,389295.1,431635.5,116701.2,106434.9,143668.5,120072,165206.5,89842.95,56050.53,90704.16,90638.52,78991.34,109375.3,116645.1,87758.94,65631.08,67113.15,120748.4,119367.4,142438.7,0,0,0
"PG(18:1,19:1)[M-H]-",1352911,1680406,1778427,1246956,1590939,1519468,275654.7,844503.3,831401.4,1261279,1589290,1546372,3198051,2350614,2498494,915703.3,1133171,1029854,293874.5,435144.9,532050.3,294395.1,423285.2,395738.5,362074.2,514040.7,856109.7,539806.6,791465.9,740269.1,670947,613208.7,639154.6,560489.5,795309.8,1169010,0,0,0
"HexCer(d18:2,m16:0)[M-H]-",290214.1,344344.3,321845.9,239053.9,298440.1,252663.2,164884.4,370756.9,317798.4,298018.7,310899.6,354366.9,261603.7,309477.8,301285.9,284154.6,268485.8,315360,0,2773.024,2441.128,1677.722,2114.259,0,0,2034.849,4993.502,2378.928,3482.097,2325.206,7663.498,9622.194,6147.218,26042.7,21492.26,25353.88,0,0,0
"HexCer(d18:1,24:1)[M-H]-",36906.45,56173.8,48772.2,33607.49,60376.61,42867.14,13613.92,28011.77,35671.39,51981.38,54528.19,49766.37,51471.05,51101.64,44827,27909.11,29134.75,33878.7,78567.2,77322.38,86832.38,71810.84,86966.79,69657.55,52696.25,76669.78,64126.57,76479.02,99495.77,104067.3,138040.2,123729.4,129896,267506.7,279661,343096.3,1486.288,2830.07,3825.493
"HexCer(d18:2,m24:0)[M+FA-H]-",1597261,1726498,1877072,1229910,1502372,1381833,529268.6,1570249,1529656,1628821,1626388,1682807,1547030,1571302,1429426,1441222,1338441,1455310,37876.11,40899.36,42501.93,42100.69,55334.03,37224.67,27823.03,24379.23,31233.35,49758.78,63658.28,44706.61,53979.95,29647.55,36037.25,85263.12,61222.32,85201.93,2574.954,2708.581,1546.444
"HexCer(d18:1,m16:0)[M-H]-",1124408,1359772,1360420,950812.6,1193750,1120787,405178.8,1033790,951888.1,1212086,1354447,1458089,1115532,1298459,1204059,936498.7,855786.6,849794.4,12348.92,14674.43,17027.29,11504.57,15507.74,7965.947,5860.025,12707.09,9887.077,13025.88,19318.82,17734.46,33039.29,21282.4,17840.99,42436.38,60201.03,58882.77,0,0,0
"HexCer(d18:1,24:0)[M-H]-",146594.3,168334.6,336602.7,162224.5,301172.7,140956.3,119879.6,271292,262867.1,239850.3,306428.3,134061.1,289492.2,328197.3,129759.7,297322.2,261864.4,187525.5,149592.1,159166,87841.62,181826,170240.2,62173.05,114919.4,177191.6,98773.6,168908.2,171883.2,94721.31,188094.6,194909.8,105845.3,294562.2,350729.5,238034.8,16681.62,0,0
"HexCer(d18:1,16:0)[M+FA-H]-",2.02E+07,2.36E+07,2.38E+07,1.98E+07,2.26E+07,2.13E+07,1.04E+07,2.06E+07,1.97E+07,2.16E+07,2.38E+07,2.32E+07,2.20E+07,2.31E+07,2.02E+07,2.19E+07,2.04E+07,2.17E+07,9860079,9861110,1.06E+07,9177897,1.03E+07,8004582,6029580,7969348,7660920,1.01E+07,1.18E+07,1.12E+07,1.54E+07,1.54E+07,1.58E+07,3.86E+07,3.82E+07,4.50E+07,0,0,0
"HexCer(d18:0,24:1)[M+FA-H]-",787795.7,1232639,1276914,861391.4,1048867,470577.8,376422.8,1125154,1070368,1131046,1229312,773996.2,1014442,1107640,535934.2,1327676,1142267,1069901,353778.8,332183.5,321207.1,257788.2,315250.9,217684.4,108833.9,163427.7,153840.1,339846.8,422069.9,394304,419613.5,376556.4,395902,2965749,3222450,3554429,0,0,0
"HexCer(d18:2,m16:0)[M+FA-H]-",2307417,2776703,2783265,1818636,2498072,2074698,1180853,2895461,2616698,2512676,2670683,2767140,2277692,2422253,2186441,2562093,2399148,2582132,21998.41,29884.38,40799.05,33857.5,33584.17,24380.98,20647.87,35300.02,31955.08,35017.38,39557.89,38151.8,82979.56,77607.91,78715.88,172833,166622.8,184986.6,0,0,0
