compound,t.stat_cjm_4hr,p.val_cjm_4hr,p.adj_cjm_4hr,t.stat_cjm_8hr,p.val_cjm_8hr,p.adj_cjm_8hr,t.stat_cjm_24hr,p.val_cjm_24hr,p.adj_cjm_24hr,t.stat_639_4hr,p.val_639_4hr,p.adj_639_4hr,t.stat_639_8hr,p.val_639_8hr,p.adj_639_8hr,t.stat_639_24hr,p.val_639_24hr,p.adj_639_24hr
LPC(23:0)[M+H]+,0.050876254218001585,0.9628472670945363,0.998817218894207,0.2891027365862319,0.7868687233419377,0.988429686274397,-2.6170840641579995,0.0822238897178644,0.75948152562034,1.8148951273082787,0.15655516869160663,0.437782671162827,1.8618005411963274,0.14643524350141948,0.298613045571522,5.448315641072697,0.00661114488119068,0.0234214778259546
LPC(17:0)[M+Na]+,-0.5742713637485848,0.6190937489792094,0.998817218894207,-1.8875736715417675,0.19314833020059946,0.988429686274397,0.44305454532056315,0.6933521367933441,0.876260982695883,-2.390363846063431,0.11129666756342041,0.362583674796456,-3.0755445193728517,0.03739051082803308,0.134022323074784,-4.33793011269624,0.032919235361843394,0.0638480053297149
LPC(20:5)[M+Na]+,0.14805004282497597,0.895314387024755,0.998817218894207,-0.8345177135802935,0.4509720277132655,0.988429686274397,-0.3084117435692333,0.7814713823914525,0.923359603209787,-4.49175513865845,0.018823532565422286,0.131321066192192,-2.676779777973177,0.10727346248874693,0.245610809285488,-6.7482700375483935,0.013155541055011119,0.0349417873881506
LPC(21:0)[M+H]+,0.989332366510666,0.38922311197816195,0.998817218894207,-0.7446546977147595,0.5024653457932639,0.988429686274397,-3.405152308630533,0.06635091079475078,0.75948152562034,-0.8764352296412302,0.4431928754379034,0.735391073876896,-2.599529241666423,0.06746104065854588,0.187091952759701,-3.285900013986118,0.03490429546542035,0.0658601412175579
LPC(24:2)[M+H]+,0.6754726679011894,0.567894955970932,0.998817218894207,-1.0956059315319837,0.33658677874628273,0.988429686274397,-0.8159878391022137,0.48208710330121124,0.761228962242035,-9.68407258020176,6.500176285332895e-4,0.0538987794610198,-10.91036105960206,0.001184094549980606,0.0214166666431275,-7.60804828238863,0.0027234523792635927,0.0155989993491595
LPC(22:0)[M+H]+,0.08463827549093703,0.939609902254221,0.998817218894207,-0.7851773493456123,0.5137073943517061,0.988429686274397,-0.6562891224166212,0.5688268528745744,0.808126425463188,-4.021538101884967,0.025880452794347687,0.158708070812397,-11.343252146070972,5.719481383592985e-4,0.0118965212778734,-9.14372675979492,8.04252061757722e-4,0.00861138365329819
LPC(m16:0)[M+H]+,-0.5872703245067191,0.5896599367440984,0.998817218894207,-0.42912630233465804,0.6902723884983093,0.988429686274397,-0.3939760991388573,0.7310732913886637,0.888502053251119,-0.7030865130334195,0.5248924977151826,0.784516743896886,-0.3255916617488869,0.7660283140955986,0.865330162655314,-3.841768271701303,0.019173518928260826,0.0462159386883512
LPC(16:1)[M+Na]+,0.7203836151300683,0.5198534773065951,0.998817218894207,-1.0490775181727547,0.35953928466461993,0.988429686274397,-1.3357797630756763,0.3030459199295486,0.75948152562034,-3.8229200089612587,0.03527311016526698,0.19622680381399,-2.922839312936967,0.04841801122372925,0.158390744313987,-7.421242558082056,0.0021491709407927316,0.0140031919111026
LPC(22:5)[M+Na]+,0.1350834024587047,0.9044462221392987,0.998817218894207,-1.2202137075633703,0.33511829988737707,0.988429686274397,-1.435609451499815,0.26014455113302587,0.75948152562034,-2.574464336721601,0.06594017322733005,0.264909142313917,-2.2849294955016886,0.09684693019668107,0.232840639089638,-5.5941245132214155,0.005519400768171758,0.0217131143427134
LPC(18:2)[M+Na]+,-0.23457607335417946,0.834844621515413,0.998817218894207,-0.7008623554412718,0.5268705787336204,0.988429686274397,-0.48479348300877695,0.6627131963327053,0.858609549965643,-3.8425575321272873,0.022702384672259,0.147920225130188,-3.1716025671563317,0.03578699609901922,0.134022323074784,-5.127148984208068,0.009568408325410178,0.0285001876549717
LPC(16:0)[2M+H]+,-2.315053444422759,0.20946796890826078,0.998817218894207,-8.155135299201461,0.0033757709048994086,0.988429686274397,-0.3013456378459225,0.7961676115067607,0.928283177516375,-3.134724783153311,0.06575045430494088,0.264909142313917,-2.221751668731671,0.26466346811329466,0.454958688988143,-20.04418811400709,8.053812049847229e-4,0.00861138365329819
LPC(17:2)[M+H]+,1.0412499837709412,0.35775406701976126,0.998817218894207,-0.24052589466650007,0.8224831769172345,0.988429686274397,-0.8508084422761271,0.4816379957889639,0.761228962242035,-2.422900848799985,0.07780086737201555,0.28710585570027,-2.903966218901978,0.055977553648339895,0.163990579702179,-5.924307660863914,0.006246365678300565,0.0228485481390468
LPC(24:6)[M+H]+,1.064028752671708,0.35612788315792493,0.998817218894207,-0.6580409661842959,0.5578558544495124,0.988429686274397,-0.31824411935622343,0.7827407194447417,0.923359603209787,-1.5444010515050057,0.21222417787826342,0.50837387613775,-1.9525509190336998,0.13275762497848914,0.283216266620777,-6.730066935570205,0.005959135063468736,0.0223870209141123
LPC(20:4)[M+Na]+,-0.12499006478604456,0.9116713719017155,0.998817218894207,-0.8995011622626472,0.4255041336128934,0.988429686274397,-0.1928554278012358,0.8612470655768728,0.953854276929225,-2.9347492111557547,0.050532625074979305,0.240781505624553,-2.589358123007439,0.06669414533384638,0.18620647287839,-6.857439962383537,0.0027663385791176416,0.0155989993491595
LPC(19:0)[M+Na]+,-1.1715900753625892,0.3542589855235797,0.998817218894207,-2.344597683228601,0.09086227657601269,0.988429686274397,0.11633738198635603,0.915404107206591,0.965628832942901,-2.04527866060861,0.16585247739121844,0.440512631032727,-2.821805842926838,0.0495447945747656,0.158390744313987,-6.284670981438359,0.02187542988703723,0.0492928671891327
LPC(24:1)[M+H]+,0.6290835227497168,0.577234465334341,0.998817218894207,-2.300808344811025,0.08564957353443271,0.988429686274397,-3.017849320795839,0.06533098887421435,0.75948152562034,-17.682206284005805,1.3483986716025524e-4,0.0532332478699214,-27.500526414068606,1.0560410825153197e-5,0.00439313090326373,-36.75105587154809,6.134596774647832e-4,0.00761679217510877
LPC(22:6)[M+Na]+,0.3625639854045151,0.740424743493568,0.998817218894207,-0.7179538420898082,0.525791733962133,0.988429686274397,-0.8629405726982968,0.45167069911165353,0.75948152562034,-2.4226508504831585,0.07335163178890114,0.276865955400641,-2.3568114707334638,0.08941627909766914,0.221411738718038,-6.33317422142283,0.012193880211474748,0.0335197226057782
LPC(26:0)[M+H]+,-0.4465009897138295,0.6787422824700022,0.998817218894207,-0.09465769715422284,0.9291825107312087,0.997030146278664,-1.427228459729658,0.2785617811312674,0.75948152562034,0.4913935728384921,0.6615268998558219,0.854758317832617,-0.44972205301161633,0.6780417572829933,0.818416979722953,4.143752481167236,0.05107432697797998,0.0851919773992706
LPC(24:0)[M+H]+,-0.0045519568422517954,0.9966877336758219,0.998817218894207,-2.0845813894995593,0.12552871557715914,0.988429686274397,-1.3078550551258907,0.32071464557714646,0.75948152562034,-3.7261628851129323,0.022463609050892515,0.147920225130188,-13.436330445298742,1.8363346385859611e-4,0.010063465201598,-16.736766204268882,9.359433619700686e-4,0.00867307515425597
