compound,t.stat_cjm_4hr,p.val_cjm_4hr,p.adj_cjm_4hr,t.stat_cjm_8hr,p.val_cjm_8hr,p.adj_cjm_8hr,t.stat_cjm_24hr,p.val_cjm_24hr,p.adj_cjm_24hr,t.stat_639_4hr,p.val_639_4hr,p.adj_639_4hr,t.stat_639_8hr,p.val_639_8hr,p.adj_639_8hr,t.stat_639_24hr,p.val_639_24hr,p.adj_639_24hr
LPC(23:0)[M+H]+,0.05088413153501419,0.962841524067626,0.998796701739146,0.28909818609147,0.7868719619572629,0.979260541873001,-2.617198289606153,0.08221356426931133,0.772217470408182,1.8148990054737195,0.15655434139695967,0.446318768857683,1.8616788126902397,0.14645497358394075,0.294285111239092,5.448017796153405,0.006612506856363043,0.023636736501546
LPC(17:0)[M+Na]+,-0.5742641616207399,0.6190978733991833,0.998796701739146,-1.8876066894699304,0.19314234046874038,0.979260541873001,0.4430590030330055,0.6933479650082737,0.877930975755915,-2.3904005342976187,0.11129324355274518,0.369252001864922,-3.075611517927678,0.037388091190488984,0.136716699727673,-4.338067026915355,0.032917286360717,0.0640390843744858
LPC(20:5)[M+Na]+,0.1480619808196256,0.8953060316545751,0.998796701739146,-0.8345258861679183,0.45096795280806606,0.979260541873001,-0.3084238634986302,0.7814630940057157,0.921394502023268,-4.491752334233246,0.018824174888796626,0.132636704054801,-2.676747909909866,0.10727633149309343,0.23953476513931,-6.748104467175453,0.013156862572940351,0.0351946073826154
LPC(21:0)[M+H]+,0.9893453515971734,0.38921769628123953,0.998796701739146,-0.7446821413859267,0.5024510416244854,0.979260541873001,-3.4051001610999556,0.06635750688958085,0.772217470408182,-0.876449236712597,0.44318537622342563,0.745892073174591,-2.599574023376483,0.06745687036956112,0.189944345514291,-3.285922159473683,0.03490480756556484,0.0661029099029281
LPC(24:2)[M+H]+,0.6754901669524108,0.5678857525123532,0.998796701739146,-1.0956095161794148,0.33658507239310803,0.979260541873001,-0.8160121052462889,0.4820767195772572,0.773338401139305,-9.684043218458589,6.500406136238884e-4,0.0507507234474185,-10.910249634562359,0.0011841936228628163,0.0220362987210994,-7.608013439351507,0.002723642635018576,0.0153930553663197
LPC(22:0)[M+H]+,0.08466276349704374,0.9395924363789845,0.998796701739146,-0.7852523483775624,0.5136726927880766,0.979260541873001,-0.6562487487115812,0.5688495573041934,0.819756264397962,-4.02157711498869,0.02587872346684862,0.160523096287119,-11.343169084445625,5.718927878624945e-4,0.0122385056602574,-9.143691939690505,8.042422501511956e-4,0.00819561150154076
LPC(m16:0)[M+H]+,-0.5872626855357,0.5896645948657524,0.998796701739146,-0.42913352232943774,0.69026762259929475,0.979260541873001,-0.39399095293256847,0.7310640825601592,0.883885387954091,-0.7030939677920359,0.5248881860344177,0.796638807172804,-0.3256060043910323,0.7660186516049624,0.859978303024344,-3.841995445436426,0.019169802434498385,0.0463540985421769
LPC(16:1)[M+Na]+,0.7203895114892976,0.5198503211134374,0.998796701739146,-1.0490829985629113,0.3595373586487958,0.979260541873001,-1.3357873004547296,0.30304471807847727,0.772217470408182,-3.822909907531454,0.03527396425895381,0.196174122862093,-2.92285094545571,0.04841785358795676,0.161021038068959,-7.421222642213769,0.0021492846401941026,0.0135278503823982
LPC(22:5)[M+Na]+,0.13509213879684384,0.9044401036686611,0.998796701739146,-1.2202196737007232,0.3351167131087398,0.979260541873001,-1.4356183982710018,0.26014420378834474,0.772217470408182,-2.574473894530624,0.06593979433852853,0.271919233019665,-2.284935097031066,0.0968473071811192,0.226506270347098,-5.594108369448666,0.0055196151970985236,0.02167335141613
LPC(18:2)[M+Na]+,-0.23456860324886494,0.8348497381641934,0.998796701739146,-0.7008697835850871,0.5268666762778464,0.979260541873001,-0.48480560441593984,0.6627058075816316,0.86739475732397,-3.842558724567101,0.02270271798039447,0.14948866608629,-3.171611775406111,0.03578699322495902,0.136716699727673,-5.127133295981178,0.009568841761431258,0.0286396103069411
LPC(16:0)[2M+H]+,-0.7718165318345244,0.5119938632154795,0.998796701739146,-12.968469913896385,0.0011369228524969349,0.486602980868688,-0.7148973114361691,0.5915043222056711,0.826884446925941,-3.1346557970563538,0.06575651829917191,0.271919233019665,-4.434539560154398,0.03957774737191075,0.139994015497337,-24.558487952944297,3.909238885352289e-5,0.00164509815532999
LPC(17:2)[M+H]+,1.0412632942041256,0.35774904579669164,0.998796701739146,-0.24052818481060712,0.8224814650923029,0.979260541873001,-0.8508342330917722,0.4816270987584579,0.773338401139305,-2.4229092402143766,0.07780131708282204,0.294681094791574,-2.903932981805679,0.05598151988018897,0.16524200350842,-5.924253203279016,0.006247126540822082,0.0228527364057423
LPC(24:6)[M+H]+,1.0640342740570679,0.3561245756964507,0.998796701739146,-0.6580579135858289,0.5578470705906042,0.979260541873001,-0.30793237733369516,0.7899668001414805,0.923786312733753,-1.544417652852286,0.21222143882412606,0.518800072803644,-1.9525670220834381,0.13275322591433106,0.278521473977126,-6.730114914315434,0.005958226578728898,0.0223694822429471
LPC(20:4)[M+Na]+,-0.12498225037257076,0.911676855616472,0.998796701739146,-0.8995084853863229,0.4255010742628841,0.979260541873001,-0.19286315675468466,0.8612415164159338,0.950029301613453,-2.9347565145878445,0.050532749348736326,0.241653429188309,-2.589374145476123,0.06669349422274226,0.189038513426051,-6.857413153316241,0.002766487767388302,0.0153930553663197
LPC(19:0)[M+Na]+,-1.1715873239692904,0.3542598063598829,0.998796701739146,-2.3446247217973477,0.0908605663970235,0.979260541873001,0.11631629338609514,0.9154194161757259,0.966341508445098,-2.045319008841736,0.16584640091088731,0.449254807530758,-2.8218155008544694,0.04954493245708547,0.16175506063914,-6.549367503917696,0.019878848528955814,0.0472674842799616
LPC(24:1)[M+H]+,0.6290974505958868,0.5772267515829841,0.998796701739146,-2.300824808778069,0.08564805121926804,0.979260541873001,-3.0175821607157824,0.06534601017392644,0.772217470408182,-17.681971170804367,1.34859029852902e-4,0.0507507234474185,-27.500405393341072,1.0560568193647476e-5,0.00225996159344056,-36.74949363090113,6.135037596032213e-4,0.00701478198880135
LPC(22:6)[M+Na]+,0.3625713841807662,0.7404197910308379,0.998796701739146,-0.717962951518756,0.5257871604017099,0.979260541873001,-0.8629547882178348,0.4516640670973692,0.772217470408182,-2.422663077284702,0.07335080431228634,0.284195766933346,-2.356825090186337,0.089415755963864,0.214999682879403,-6.333119353089948,0.012194615368337451,0.0337409030988345
LPC(26:0)[M+H]+,-0.4464770644251765,0.6787580367179253,0.998796701739146,-0.09468662879155341,0.9291609373602909,0.996693937820061,-1.4271961062276588,0.27856805644015925,0.772217470408182,0.4913616665570242,0.6615468291781431,0.870280981794432,-0.44977825451935444,0.6780048595565553,0.813778647236266,4.143376703339777,0.051083347849743714,0.0828169427260997
LPC(24:0)[M+H]+,-0.004528454991559747,0.9967048373891549,0.998796701739146,-2.084611982020627,0.12552565911856478,0.979260541873001,-1.3078085916957778,0.32072687286552015,0.772217470408182,-3.7261220047822974,0.022463934306293648,0.14948866608629,-13.436115166639134,1.8364281801029424e-4,0.00920265359917202,-16.73640962013377,9.361442830440828e-4,0.00834728652380974
LPC(22:1)[M+H]+,0.49993425211527215,0.6455521112487592,0.998796701739146,-1.3771904098279382,0.26639418989271113,0.979260541873001,-1.1394559859745208,0.337538892886493,0.772217470408182,-12.03086924565044,0.0013384188306802295,0.0507507234474185,-16.277229526465227,2.2830383048331787e-4,0.009771403944686,-14.817796412190079,1.2091680093948065e-4,0.00258761954010489
LPC(22:0)[M+Na]+,-0.44479321334976285,0.6831585692819229,0.998796701739146,-0.5956373375073633,0.5860862100445658,0.979260541873001,-1.444067792600825,0.24867156840499333,0.772217470408182,-2.673229361980017,0.10934771437276687,0.368510407492474,-2.9277015926431456,0.072467794818851,0.192952208222225,-11.038737598739914,0.0010943198593182117,0.00918370391741558
LPC(20:5)[M+H]+,-0.4692023775008401,0.6678977515731994,0.998796701739146,-0.3322983289376301,0.7563738940660502,0.979260541873001,-0.3181965523979603,0.7724982872662344,0.920829028935874,-3.323226328064089,0.044857724211100285,0.231314529666879,-4.023981651918026,0.036046626724583704,0.136716699727673,-9.60100214678835,0.007295298025202944,0.0247808536094195
LPC(16:1)[M+H]+,0.7325561488887083,0.5118739496773622,0.998796701739146,-0.9884529595668542,0.3863590947609775,0.979260541873001,-0.7542719203686031,0.5219489244950052,0.7880828582162,-2.892436330547456,0.0675213806585872,0.271919233019665,-3.2704016970587118,0.03769292188753614,0.136716699727673,-8.203756237382164,0.008027327630229852,0.026264824757444
