compound,t.stat_cjm_4hr,p.val_cjm_4hr,p.adj_cjm_4hr,t.stat_cjm_8hr,p.val_cjm_8hr,p.adj_cjm_8hr,t.stat_cjm_24hr,p.val_cjm_24hr,p.adj_cjm_24hr,t.stat_639_4hr,p.val_639_4hr,p.adj_639_4hr,t.stat_639_8hr,p.val_639_8hr,p.adj_639_8hr,t.stat_639_24hr,p.val_639_24hr,p.adj_639_24hr
LPC(23:0)[M+H]+,0.09310039843528055,0.9321142367419766,0.999411744359505,0.35437682500892487,0.7409511912641215,0.976675158538865,-0.3533454036234304,0.7475914660998997,0.984820094048618,3.4223867456064547,0.031333318027407714,0.110543946000694,5.503376529890866,0.008182050479458688,0.0478135105800113,8.472179733164143,0.0012821077382311732,0.00910342314844602
LPC(17:0)[M+Na]+,-0.5127662671120581,0.6549739101397066,0.999411744359505,-1.6865787154585237,0.22669709395628998,0.976675158538865,-0.3751380492654802,0.7285845912438058,0.984820094048618,-1.2756207980167424,0.30569166952811633,0.449366754206331,-1.222125815544386,0.2914406097053804,0.3736200839537,-2.9576918287470355,0.07485646570796961,0.111526018166266
LPC(20:5)[M+Na]+,0.24125152204070138,0.8309306553565422,0.999411744359505,-0.7384327146586541,0.501253294132029,0.976675158538865,0.8137874816576284,0.46152073833091856,0.984820094048618,-3.4117973962933656,0.03704691440720644,0.120130068041015,-2.135533237638392,0.15362339078657156,0.23460083944644,-6.170090559160272,0.015759804814771364,0.0378541756197382
LPC(21:0)[M+H]+,1.1809635765438176,0.3134360374901051,0.999411744359505,-0.47412537726634957,0.6636867585444723,0.976675158538865,-1.2357225440509014,0.31171460907475873,0.984820094048618,0.18349744197186413,0.8660104045758961,0.911248880502248,-0.2848251182723128,0.7916008698944287,0.833164638719434,-2.299711718092218,0.08891502854485617,0.129839495325436
LPC(24:2)[M+H]+,0.8420716100373808,0.48720076658417255,0.999411744359505,-0.9799829497071518,0.3844493593062276,0.976675158538865,-0.17976850649379633,0.8686792571494486,0.984820094048618,-8.271021187010701,0.0011661776270205332,0.0214285138965023,-9.624832110917433,0.001990339473658406,0.0195053268418524,-6.784177590181382,0.0038285551115197006,0.0172284980018387
LPC(22:0)[M+H]+,0.4605885152826492,0.6871521028937511,0.999411744359505,0.04750506572188592,0.9664031067588491,0.976675158538865,-1.3970614500719807,0.23805548344638552,0.984820094048618,-2.0824525964681437,0.13122565103514464,0.25154742479099,-4.664474546993949,0.018638604136960595,0.064721452160627,-6.9808243662264315,0.0023059033622161614,0.0131087121188986
LPC(m16:0)[M+H]+,-0.48588332418677455,0.6532371876062795,0.999411744359505,-0.346917275819762,0.7463991313577275,0.976675158538865,-0.02571510839274542,0.9811245179591689,0.999120767833758,-0.12218466445178103,0.9092999483637756,0.945757729312323,0.553362777859428,0.6194535224446129,0.691592413666011,-1.3143123372330472,0.2599793838096158,0.312861041340116
LPC(16:1)[M+Na]+,0.821519370696253,0.46761171493063874,0.999411744359505,-0.9616402626830493,0.3960151878006024,0.976675158538865,0.5507680046612846,0.628906199725779,0.984820094048618,-3.032298713179628,0.05923303059185594,0.160154247410937,-2.102106500115694,0.10724526760283835,0.18842694427431,-6.416262446795042,0.0034942853308358958,0.0164979477544317
LPC(22:5)[M+Na]+,0.21389376256468962,0.8497036823961158,0.999411744359505,-1.1317055256670414,0.3634437554054269,0.976675158538865,0.5720342375317262,0.6101592124086311,0.984820094048618,-1.8286478419078023,0.14630673760941773,0.268838630357305,-1.6138087137406367,0.19124263958611767,0.271183292789318,-4.8797161523776875,0.008715974342402502,0.0266487595652235
LPC(18:2)[M+Na]+,-0.1823630680597796,0.8709475530873532,0.999411744359505,-0.6087767138941385,0.5793762154413514,0.976675158538865,0.9218903203350765,0.42500492404737056,0.984820094048618,-3.057745898457824,0.04326077966084914,0.132069021837557,-2.347015565808765,0.07978059246848576,0.159200186781006,-4.479635826696248,0.01425842134106784,0.035525219273508
