compound,logFC,AveExpr,t,P.Value,adj.P.Val,B
P053_Na,14.181636126678569,15.656986357237976,661.6121693178591,1.2501666349882923e-84,1.0027586579241093e-80,136.10818361025713
QI7701,13.755772479051348,15.487542725536793,623.1797597611042,1.4736988036625995e-83,5.9102690520888556e-80,135.87634016828306
QI7688,14.950005631125975,15.99143192563089,537.2111404238904,6.699574819845163e-81,1.791242987665935e-77,135.1813868815089
QI301,11.499358696252504,14.631807528334594,334.4802232615713,2.0320610655165082e-72,4.074790451626978e-69,131.34851784171104
QI287,7.345675988196973,12.913443977244999,188.8910529019344,3.4071272529028505e-62,5.4657135391067525e-59,121.71203326563474
QI7666,7.181531960827485,12.883044715183257,181.1759230216382,1.8975944446450423e-61,2.5367675067496472e-58,120.74719209493585
P053,10.509501579785228,19.213477099100093,178.24263982949748,3.716259776837472e-61,4.083389295986757e-58,120.35971264864244
QI7693,12.544769482234205,15.060072109563576,177.84661987095402,4.072698462522635e-61,4.083389295986757e-58,120.30648553785647
QI7393,7.515091414410156,13.018568884179277,176.87917220487864,5.098299143988301e-61,4.543717492658907e-58,120.17552408972776
QI314,6.379071586661679,12.583771371556875,155.2077491263615,1.1073289169550198e-58,8.881885242896214e-56,116.85711854942896
QI315,5.563792075955952,12.230818829058842,147.02567083505602,1.0286818161160593e-57,7.500960770060827e-55,115.38350356809465
QI1146,6.727339615680105,12.589619934844865,146.14596758704252,1.3168500002602744e-57,8.802044876739717e-55,115.21677440845578
QI7386,6.922202776286758,12.760851131537331,144.59923739467513,2.0402619180782294e-57,1.2588416034542675e-54,114.91951701811678
QI1148,6.6291338525583985,12.526819714043912,142.78225442631052,3.4329283718700547e-57,1.966822747912122e-54,114.56349209383423
QI6884,6.261746605686604,12.480154647485834,136.2392500953843,2.365069474495344e-56,1.2646814836618103e-53,113.2172293804713
QI7761,7.020883634751982,12.829972672815176,132.0491498482378,8.549329024075698e-56,4.285885506381949e-53,112.2988557830028
QI1147,5.854904827682425,12.212411101539738,123.66067492751189,1.27124033903032e-54,5.8691610167144664e-52,110.31466830592935
QI7801,7.728825851628992,12.372049882302422,123.55413649081602,1.317103831203845e-54,5.8691610167144664e-52,110.28813294886847
QI238,7.0959147411222965,12.95528701113792,119.84821006441074,4.607057579385387e-54,1.9449057286447468e-51,109.34285466800426
QI609,6.099996992878353,12.43683827697399,110.84250405325002,1.1425945834194615e-52,4.58237557680375e-50,106.85198800310529
QI1116,5.913160773915248,12.342386158632236,102.28066629098352,3.1060453102693887e-51,1.1863614016033699e-48,104.19588217685084
QI7766,5.111541400242238,12.0388761608973,101.67353334512235,3.966426079311846e-51,1.4461228900981962e-48,103.99566711720503
QI7653,5.511177688269278,12.209745985851255,99.74107754882955,8.722405147566909e-51,3.0418439864623555e-48,103.34719940439349
QI1117,5.547927476906663,12.175642052160816,94.1510996986916,9.310072686866755e-50,3.1115038758899265e-47,101.37025449174635
QI7682,4.944052679772339,12.024137427747174,84.10422666731066,9.533169108227543e-48,3.058621976683725e-45,97.39148988039489
QI239,5.027702578230439,12.14665658106953,79.33411070646207,1.0433718970496078e-46,3.21880230239804e-44,95.28135681054871
QI7685,4.226119114467394,11.676029083421966,78.99407085457835,1.2441108841566237e-46,3.6959308895630663e-44,95.1248638753883
QI6906,5.335732571962064,11.58669149404858,68.60481250496201,3.990539209438622e-44,1.1431469642466854e-41,89.9020458590453
QI7800,5.381083586370563,11.696952290277139,67.82552378973303,6.365474286456947e-44,1.760602387988661e-41,89.47231057199755
QI289,6.717409140745188,12.66315492400249,67.60795707644205,7.258693927444218e-44,1.9407327997343359e-41,89.35129131781567
QI7652,4.720976224716475,11.920785930681854,67.18589467869292,9.375702255245965e-44,2.425887348042835e-41,89.1152082602268
QI1093,5.479875494300483,11.657632683054645,65.03425520891906,3.5439714223386626e-43,8.883185868305754e-41,87.88399332969516
QI1115,4.955675087315935,11.931332009843603,62.112494342547535,2.3143289864600883e-42,5.625222060726172e-40,86.13404526716216
