compound,logFC,AveExpr,t,P.Value,adj.P.Val,B
P053_Na,14.276013374673063,15.656986357237976,666.0151264394584,9.51074207323569e-85,7.628566216942347e-81,136.1323596076463
QI7701,13.853236926272348,15.487542725536793,627.5952057781805,1.1015454756231445e-83,4.417748129986621e-80,135.90501983470287
QI7688,15.151648312968092,15.99143192563089,544.4569366960341,3.8564595664794016e-81,1.031088739424376e-77,135.25186818724637
QI301,11.749193005869,14.631807528334594,341.74711856123355,8.379621543026226e-73,1.680323609915334e-69,131.59069768328817
QI287,7.3871995732653915,12.913443977244999,189.9588149045656,2.701285480646313e-62,4.333402168052816e-59,121.83967057062188
QI7666,7.4866173089115655,12.883044715183257,188.87262615420252,3.420843379764525e-62,4.573097458181876e-59,121.70981841071006
QI7393,7.733857349951325,13.018568884179277,182.02816314209474,1.564145205720724e-61,1.7922869564408466e-58,120.85757500557733
QI7693,12.604209126949382,15.060072109563576,178.6892929797661,3.352354383022428e-61,3.249835474649183e-58,120.41948141495749
QI7036,-5.207592258122167,10.556883925491949,-178.3246961126006,3.646492865209157e-61,3.249835474649183e-58,120.37071390456245
P053,10.154047903263129,19.213477099100093,172.21409497802097,1.5324232278414802e-60,1.2291566710516513e-57,119.52496622067903
QI314,6.667507519132105,12.583771371556875,162.22561861374973,1.7934837070122762e-59,1.3077757103586787e-56,118.01819353988931
QI923,-5.821472676752368,10.597085820491172,-153.57243202952077,1.7124403751710564e-58,1.1446236874372535e-55,116.57333997245564
QI315,5.726617962611856,12.230818829058842,151.32841703550318,3.1385321645634503e-58,1.936474345535649e-55,116.17537442289098
QI7386,7.075907873755533,12.760851131537331,147.81001300988785,8.263998342492957e-58,4.7346807646525724e-55,115.53075279221817
QI1146,6.592270320770499,12.589619934844865,143.2116972924592,3.033872590147204e-57,1.6223128030380484e-54,114.6483138173829
QI6884,6.469133583001259,12.480154647485834,140.75144901496984,6.189444668780444e-57,3.102845980517996e-54,114.15660393679416
QI1148,6.4410978361890905,12.526819714043912,138.73222211021985,1.1216375118139462e-56,5.29214969544686e-54,113.74237482203588
QI7801,8.578916944104982,12.372049882302422,137.14381659044827,1.8013885209241955e-56,8.027187403518317e-54,113.40956256158617
QI7761,7.259865183408655,12.829972672815176,136.54392742485604,2.1574077977138555e-56,9.107667339717281e-54,113.28224101206554
QI918,-4.198663901818616,10.419363004578491,-135.73577218978747,2.7541837537425476e-56,1.1045653944384487e-53,113.10928291497588
QI238,7.778972127973912,12.95528701113792,131.38487703012638,1.052019366646185e-55,4.018213018985262e-53,112.14899086711638
QI1147,5.624156793328211,12.212411101539738,118.78707603799187,6.640722880622591e-54,2.4211471920669911e-51,109.0640068156668
QI609,6.27870677861962,12.43683827697399,114.08982371152335,3.487378923099262e-53,1.2161854931382254e-50,107.78352512773081
QI1116,6.117109352226436,12.342386158632236,105.80838983450481,7.714347977388611e-52,2.5781993802764184e-49,105.32717548428647
QI7766,5.23931710693569,12.0388761608973,104.21511651112739,1.438745223969104e-51,4.616070176582472e-49,104.82289977510743
QI1151,-6.364344105485337,13.757831641824927,-104.07358413611273,1.521344184723242e-51,4.693346809871202e-49,104.777579240931
QI7653,5.679460594044089,12.209745985851255,102.78665497427798,2.536201785216189e-51,7.53439797008113e-49,104.3614819520377
QI1117,5.743480969049051,12.175642052160816,97.46974011202863,2.245943673707128e-50,6.433826502430312e-48,102.56254598160277
QI239,5.782932782203304,12.14665658106953,91.25118727942343,3.3613307502102193e-49,9.296977223253851e-47,100.28125972153038
QI7682,5.265816830476053,12.024137427747174,89.57781823621082,7.182676358399906e-49,1.920408235690855e-46,99.63176315561884
QI7685,4.36014458672874,11.676029083421966,81.49925761466935,3.461826171630909e-47,8.957196039565006e-45,96.25847045250661
QI7800,6.3671511483472365,11.696952290277139,80.25434928735788,6.504846469964308e-47,1.6304804229869912e-44,95.70069572270378
QI454,5.544315508575265,11.89379267960365,79.63177257898721,8.949692379628853e-47,2.1753176538485768e-44,95.41766030010356
QI968,-4.772228597711683,10.503842963289728,-71.96523565377136,5.645626032357235e-45,1.3318696001628641e-42,91.69077027941894
QI1316,-4.908722814586499,13.189783850640632,-70.66070816258673,1.1931433409962978e-44,2.734343639466087e-42,91.00848213269326
QI1133,-5.844555177069127,13.04353305925253,-69.81738920431711,1.9495541622930102e-44,4.343714982153399e-42,90.5593281796064
QI7652,4.874410234670989,11.920785930681854,69.36946874097339,2.5364691183119087e-44,5.4986537291837346e-42,90.31812364362995
QI7799,6.296571948124754,11.713600393284029,69.00397752530009,3.147963434911682e-44,6.644688081954368e-42,90.11992965053497
QI289,6.648446861038062,12.66315492400249,66.91388012673646,1.1066232714064e-43,2.2759551948591624e-41,88.9621278733701
QI1115,5.2015058608835005,11.931332009843603,65.19364116178133,3.206811693392943e-43,6.430459148176199e-41,87.9768207651378
QI203,5.545228620649642,11.481187851238149,60.94143776367229,5.0309175306556953e-42,9.8421925642413e-40,85.40585849744046
QI464,4.383359924080027,11.411155864100442,59.50096760395184,1.3343089454818205e-41,2.537507530537344e-39,84.48792881924616
QI6776,5.142328991301685,11.940991283146985,59.47277363898658,1.3603394067211794e-41,2.537507530537344e-39,84.46971125820245
QI7795,5.684666920272361,11.46607540051787,59.32405879536702,1.5065069748127502e-41,2.704385035841801e-39,84.3734567686044
QI1131,-5.162065372143177,13.439173765094695,-59.313733731052565,1.517233843820983e-41,2.704385035841801e-39,84.36676380811332
QI214,4.085838290178552,11.555183078118812,58.24344791280007,3.1867055538718133e-41,5.556644619044743e-39,83.66574069235162
QI6850,-5.3125050905070434,11.276180863235659,-55.541741948244486,2.204630873255194e-40,3.762413666889343e-38,81.82977380269412
QI193,8.716783795986748,12.47480666165245,51.60221652849555,4.3891649420709766e-39,7.334477500073188e-37,78.96713768434459
QI473,4.203097246995437,11.389581345125904,48.11664559793717,7.492586848247511e-38,1.2264905940774141e-35,76.22824805627558
QI6785,-5.209779247035385,11.247255646659314,-47.682396434123675,1.0818368337446359e-37,1.7354826486931447e-35,75.87214027575203
QI276,-1.3011196786473853,19.118922131746327,-44.370504496600795,1.9908665977096688e-36,3.131125682397893e-34,73.0373275347136
QI6756,-2.01779145677661,13.647969727090464,-43.015408916225844,6.965224177477408e-36,1.0743858293758901e-33,71.81259861089546
QI6985,3.108926978611514,11.195002135642772,42.89327712677376,7.811935605224924e-36,1.1822553865945117e-33,71.70024413309503
QI7694,-2.8013810583848855,11.633449655879296,-42.182268780367096,1.5329829182188482e-35,2.277047405006182e-33,71.03947974146348
QI7764,10.21625953983501,14.289505131657267,41.43088228284111,3.1631073128267366e-35,4.6129606829424104e-33,70.32852491591406
QI6758,-6.658356949323089,11.63683032626458,-40.930677327700074,5.158978110295473e-35,7.389314896907142e-33,69.84781394118055
QI6754,-3.942337214624141,11.7169497105915,-39.90935933690575,1.4260503495167314e-34,2.0067280444690706e-32,68.84725663335502
QI965,-3.2749123532979176,15.675536467142098,-38.7427854001825,4.697270209291106e-34,6.496000749779995e-32,67.67184483062616
QI1093,3.255036114391844,11.657632683054645,38.63022975572733,5.279295707817995e-34,7.177157774984429e-32,67.55653582125974
QI6764,-4.984035512351554,11.245628675319983,-38.35582436800233,7.028193251953271e-34,9.395523012319532e-32,67.27398253529275
QI6814,-7.966809051740979,12.04714092909305,-38.188698118787514,8.374172638575209e-34,1.1011350612133075e-31,67.10088779706707
