compound,logFC,AveExpr,t,P.Value,adj.P.Val,B
P053_Na,14.197477916349715,15.656986357237976,662.3512321972463,1.1939312830772215e-84,9.576522821562394e-81,136.11227344380345
QI7701,13.7720215700977,15.487542725536793,623.9158946942766,1.4036939593057876e-83,5.6295146237958614e-80,135.8811611866959
QI7688,15.019895340724258,15.99143192563089,539.7225462068433,5.527739858845346e-81,1.4779333802599505e-77,135.20611061990147
QI301,11.639034246053296,14.631807528334594,338.54294626340067,1.2354836537787055e-72,2.4774535967397494e-69,131.4854932251372
QI287,7.3458534048293735,12.913443977244999,188.89561509805498,3.4037400461431105e-62,5.460279782022778e-59,121.71258156759399
QI7693,12.690742638447603,15.060072109563576,179.91607459160176,2.529263560324495e-61,3.3812038362271286e-58,120.58221740210905
QI7666,7.084608803671497,12.883044715183257,178.73074244516908,3.320490230912747e-61,3.639938102048521e-58,120.42501384328386
QI7393,7.577321057528263,13.018568884179277,178.3438420477803,3.6304082803127005e-61,3.639938102048521e-58,120.37327943634415
P053,10.4737951888098,19.213477099100093,177.6370543659122,4.275301510847851e-61,3.8102437131678455e-58,120.27822953470033
QI314,6.5665087739200985,12.583771371556875,159.76824096937278,3.3618573576147516e-59,2.696545786542792e-56,117.62180404195857
QI315,5.66439240948826,12.230818829058842,149.6840792230576,4.920458828999188e-58,3.587909115218408e-55,115.87730551289391
QI1146,6.668119461774257,12.589619934844865,144.8594580323515,1.894758912317237e-57,1.19520885678215e-54,114.969897630143
QI7386,6.930934004317862,12.760851131537331,144.78162571174983,1.937129427523744e-57,1.19520885678215e-54,114.9548445311927
QI1148,6.533316905820325,12.526819714043912,140.71849165250137,6.249370745050807e-57,3.580443053289466e-54,114.1499211103872
QI7761,7.112170672927746,12.829972672815176,133.76608127886377,5.025134879653883e-56,2.6871071246469197e-53,112.68072371372655
QI6884,6.096115534654743,12.480154647485834,132.63555062766977,7.124851062088095e-56,3.571776898063038e-53,112.4301625641331
QI7801,8.028375879145251,12.372049882302422,128.34278688818148,2.757297652695565e-55,1.3009579101335957e-52,111.44711303753799
QI238,7.2669033739228865,12.95528701113792,122.73616494128548,1.7307714745826503e-54,7.712509998681909e-52,110.08322997970905
QI1147,5.770655957894945,12.212411101539738,121.88126562771569,2.3070549385719673e-54,9.739414559097763e-52,109.86683831058701
QI609,6.157933230276356,12.43683827697399,111.89525828183662,7.747840183257713e-53,3.1072713054955056e-50,107.15829832629682
