compound,logFC,AveExpr,t,P.Value,adj.P.Val,B
QI6756,-9.865339106656908,13.647969727090464,-210.30993780100138,4.083914158074646e-64,3.2757075461916735e-60,124.0295288947664
QI1151,-12.12400971423936,13.757831641824927,-198.25910166837454,4.641046765876733e-63,1.8612918054548637e-59,122.78638876371545
QI1316,-9.543719482535042,13.189783850640632,-137.38114833803442,1.6776995304279627e-56,4.485609311187562e-53,113.45968599607015
QI1131,-11.549281350074745,13.439173765094695,-132.70482828057146,6.973442976690052e-56,1.3983496529007727e-52,112.44561433127429
QI1133,-10.923612471303684,13.04353305925253,-130.4903590299565,1.3933535098184767e-55,2.2352177004508003e-52,111.9452783018934
QI6122,-8.18218427462873,15.685105103356745,-86.84494477432371,2.5597793856411465e-48,3.421998408704606e-45,98.53609959026899
QI6759,-10.536210089216281,18.487228771823066,-78.66676151141266,1.4747736381534964e-46,1.6898799073755993e-43,94.97343404872761
QI6850,-6.650646015783138,11.276180863235659,-69.53187968851273,2.305176054101594e-44,2.3112271412436107e-41,90.40579555363468
QI6754,-5.671732235547676,11.7169497105915,-57.416498774259324,5.706141052952094e-41,5.085439709525416e-38,83.11408366272356
QI6046,-3.054413459932249,21.055468183447086,-56.39307391902933,1.1869253464096522e-40,9.520328203551822e-38,82.41888843017223
QI1234,-5.581970658135406,11.930344449289612,-55.915907432492446,1.6774744286030484e-40,1.2231838538022774e-37,82.08992328442667
QI6785,-5.9885804274939645,11.247255646659314,-54.81035807494003,3.780825215650671e-40,2.5271665878945025e-37,81.31558915983425
QI6849,-11.24273429375923,13.675780449367332,-53.31160059659593,1.167541628422434e-39,7.203731847366418e-37,80.23779411775162
QI1241,-8.090544873828861,12.493013693969855,-47.51833758517302,1.243933855219688e-37,7.126852466226512e-35,75.73670052461638
QI1238,-6.4327400325226876,11.985253101538964,-46.730623827499365,2.4477956753017292e-37,1.3089179407730114e-34,75.0793814234607
QI6681,-5.968229346164,17.39974416425916,-45.540711159979246,6.9508321728814535e-37,3.484539053667634e-34,74.06379581863236
QI6814,-8.543837408902128,12.04714092909305,-40.95466898547866,5.038687673541765e-35,2.3773714017340293e-32,69.8710084603744
QI1763,-3.2472079017894337,19.582171138376644,-40.567072340562795,7.388478297100157e-35,3.292388023391131e-32,69.49456781386087
QI1239,-9.375625135208715,17.277670685121212,-40.088966434959076,1.1904395873123589e-34,5.025534699911805e-32,69.02510216899073
QI1240,-6.275139983859599,11.999660818725436,-38.52166055264249,5.9107496086706124e-34,2.370506130557349e-31,67.44498708481473
QI6764,-4.980844958292165,11.245628675319983,-38.331270704442886,7.211143083745819e-34,2.7543132702250104e-31,67.24859994654108
QI1260,-3.1810882800964198,15.120575101085334,-37.51945095573415,1.701621079894531e-33,6.203955764470014e-31,66.39997611748913
QI6758,-6.08109829550445,11.63683032626458,-37.3821160424005,1.9710245958416502e-33,6.87373403619386e-31,66.25458332708469
C18:0 SM,-2.3769044737626643,23.13772611159418,-35.54093794647607,1.487467300076599e-32,4.971239672464333e-30,64.25185897213626
QI6753,-6.782488151881747,11.932283871068174,-35.27436874564409,2.0093611171157355e-32,6.446834208154126e-30,63.95334111610654
QI1236,-5.934193767846674,11.629007426590691,-34.865416991916995,3.200669795986605e-32,9.874066320618677e-30,63.49099101380837
QI6761,-7.155272231266855,14.060502491018278,-34.64194025498143,4.136816355818661e-32,1.228940888519314e-29,63.2360568726003
QI1186,-8.377361361961281,11.965132140246995,-33.30364543411257,1.987593204633296e-31,5.693744676558452e-29,61.674557889643665
QI6724,-7.064867184920743,13.838118916043513,-32.725107997006546,3.989642974008774e-31,1.1034802170525646e-28,60.98036395590178
QI1876,-3.208244634702897,18.730782786922482,-30.861567009574564,4.0785476267393565e-30,1.090467683802546e-27,58.66021259373717
QI1367,-4.428162177089426,11.035746646709732,-30.696077158787816,5.044945900008401e-30,1.3053390665795932e-27,58.44767412367162
QI1242,-5.164218859481382,11.24124790737578,-30.04297356812246,1.1798682267724055e-29,2.9574134521692078e-27,57.598026461530964
QI1259,-4.174880963493784,15.061427947834023,-29.581682753532203,2.1721676379784515e-29,5.132889021923567e-27,56.987213102734955
QI5974,-4.583251981220341,14.659608478574219,-29.580440412737467,2.175766447393109e-29,5.132889021923567e-27,56.985555854045586
C18:1 SM,-2.4628360942233023,21.687601624366184,-29.307534509810885,3.1348200662462613e-29,7.184111928960361e-27,56.61989393241589
QI6934,-2.1382563353734394,15.150260792880276,-27.874316695283795,2.2481394393334234e-28,5.0089795674703856e-26,54.64506400983635
QI1247,-4.269575503664424,11.038792789769014,-27.031082803497014,7.481162007853099e-28,1.621794607161884e-25,53.438210877908745
QI933,-2.5994625298892,16.158334790897904,-26.742896092679178,1.1370338473686723e-27,2.4000390762484524e-25,53.017718519833124
QI2610,1.2760008968182461,18.844467570226943,24.853146322779263,1.9635320300776953e-26,4.0383308751931264e-24,50.1525072617967
QI5523,1.4394083185998117,14.284855056543407,24.536923723954477,3.2220892207687705e-26,6.461094409946577e-24,49.65379779643743
QI6786,-6.816463717806265,12.039831732323066,-23.690270710233374,1.247941774904256e-25,2.4414002381724483e-23,48.289572494708125
QI7025,-1.7779830004108028,17.14809850398003,-23.64800158496998,1.3366853006657747e-25,2.496573162719305e-23,48.22032850381912
QI7064,-3.3374024556838897,11.846262796660223,-23.647215805225287,1.3383947886414427e-25,2.496573162719305e-23,48.21904022161185
