compound,logFC,AveExpr,t,P.Value,adj.P.Val,B
QI7812,11.226599005238672,16.551250824367877,232.98774274381861,6.011736593834255e-66,4.822013921914456e-62,91.60090061787727
QI188,11.131050878442348,16.671631382743694,199.85193590068764,3.3379640246660527e-63,1.3386904720923204e-59,91.0023561847454
QI7810,4.038917987535783,12.06875814548397,47.93875605628851,8.705911450043022e-38,2.3276705246931692e-34,70.00336256490303
QI206,3.370253220133529,12.010000495912633,31.41089535447,2.0285524511840155e-30,4.067754802736747e-27,56.969335864379566
QI1239,3.994458893381047,17.277670685121212,17.079792141136174,2.618701648551879e-20,4.2009211846069245e-17,35.88167356269001
C56:8 TAG,-0.6332881547377696,19.3233530600395,-12.591709174306635,1.0261189498131711e-15,1.371750016075241e-12,25.65941536707617
C60:12 TAG,-1.226226152838084,16.92095852403762,-11.472779217867584,2.0690306349703667e-14,2.3708135318710445e-11,22.71818403332
C58:8 TAG,-0.5563746352704797,20.652033180864244,-10.787334297296649,1.4106144221240284e-13,1.30822544203988e-10,20.83268963928037
C56:7 TAG,-0.48554836556290937,21.420365537172714,-10.773346048579162,1.4679003837874232e-13,1.30822544203988e-10,20.79354536102858
QI4938,-0.9666650495818523,18.14586268514716,-10.522261207871525,3.0122596947170455e-13,2.4161335011325425e-10,20.086398425617418
C22:5 CE,-0.46922087726697015,21.942369401573362,-10.339568769685826,5.108361959985006e-13,3.7249246619127025e-10,19.566504618180648
QI3085,-0.9604862242696903,17.47891768882529,-9.567952388045379,4.985073775120138e-12,3.3321063958532188e-9,17.321543189206064
NH4_C56:8 TAG,-0.8820324929165331,17.32501073501069,-9.284030101882106,1.1747257272419658e-11,7.248057737082929e-9,16.475966748308807
C58:9 TAG,-0.7333718322244849,17.85345658905348,-9.117148642150186,1.9532035351376567e-11,1.1190461110956533e-8,15.974228240984974
QI3081,-0.6608855777291325,16.84024211166008,-8.835147021389414,4.646984241231718e-11,2.4848973732613074e-8,15.118645275983269
QI3301,-0.4715769350628456,18.776034684091158,-8.796217793685765,5.2414733748083446e-11,2.6276161212086083e-8,14.99979039326734
QI5523,-0.5139424249230267,14.284855056543407,-8.76093733507631,5.846566326130036e-11,2.758547558934648e-8,14.89192246665316
NH4_C56:7 TAG,-0.5552985166024449,20.52951850851059,-8.588629947933391,9.988874722587713e-11,4.2612351104386184e-8,14.363042339536335
QI4949,-1.2473998476386292,15.982177705998726,-8.585274702793267,1.0093936803183363e-10,4.2612351104386184e-8,14.352710263100928
NH4_C22:5 CE,-0.5679587633609131,21.23010064611899,-8.497859003293783,1.326291520056534e-10,5.3190921411867297e-8,14.083081340452164
C54:7 TAG,-0.5346335095276125,19.694883233522194,-8.41310255627929,1.7296484173468064e-10,6.606433312161303e-8,13.82085113547728
C54:8 TAG,-0.9678639806930533,15.8627717193686,-8.24238713822503,2.9596928636366673e-10,1.0790771117831685e-7,13.290334048485825
QI4854,-0.4963236387110932,14.490569909719309,-8.074912647346322,5.02785308413249e-10,1.7534091125142045e-7,12.766968710406598
QI3141,-2.039320245408792,13.038069563876375,-7.9572685521385695,7.307520627864819e-10,2.4422342898376545e-7,12.39767570743265
QI965,0.670180009874386,15.675536467142098,7.928346624577137,8.012735628720807e-10,2.5708060991187836e-7,12.306686687885442
NH4_C54:7 TAG,-0.7483838835844487,17.408886672041213,-7.666989995151712,1.848696823723131e-9,5.70322970118586e-7,11.481042610819095
C52:6 TAG,-0.49006635169963886,18.586314444398365,-7.53392082646677,2.836142335933985e-9,8.425443583898702e-7,11.058454689884407
C22:6 CE,-0.38375237697410824,23.125291351358072,-7.5058753119474275,3.1044243252858824e-9,8.893066968970737e-7,10.96921340777866
QI2610,-0.3516389323115625,18.844467570226943,-6.849002895936027,2.6198236056972766e-8,7.2460707383785715e-6,8.864407420328066
C58:7 TAG,-0.4331153977805542,20.806977900256832,-6.743879497699204,3.6942156241146704e-8,9.87710117367459e-6,8.52554281673716
NH4_C22:6 CE,-0.4828908680745414,21.70967567003528,-6.644830015808473,5.108993078937308e-8,1.3219107576179403e-5,8.205928000658755
QI4655,-0.3342186862228296,19.732292762069054,-6.50276143188634,8.13896165961766e-8,2.040081608493539e-5,7.747079169367204
C56:6 TAG,-0.33170639434564464,22.139892122265405,-6.4883327522541245,8.53341293233734e-8,2.0741365190993273e-5,7.7004572846987855
QI1695,1.7746376705214892,14.945728467488065,6.392501735561179,1.1686654792037837e-7,2.7570193554981025e-5,7.390746287519187
QI2343,-0.39872619362778394,19.725404557402072,-6.348385559514145,1.350787936603133e-7,3.095620011283923e-5,7.2481458591887105
NH4_C58:8 TAG,-0.2503348330832047,20.879778982756655,-6.32160235009609,1.4749563693438747e-7,3.286284732918672e-5,7.161569193617501
QI4910,-0.7289612267395817,17.92061958089232,-6.273420151351569,1.727810955285473e-7,3.745613965498589e-5,7.005820500635071
QI963,0.8379506516785824,12.616585205426004,6.209495960720533,2.1314756535370622e-7,4.499096372900204e-5,6.799200277635867
QI2339,-0.6564618429452231,13.984634665399263,-6.195967382055778,2.228331127342347e-7,4.58293435190076e-5,6.755476256442908
QI3094,-0.917336872118458,16.40482103886168,-6.083210371908474,3.2273141005584526e-7,6.471571600144838e-5,6.391142736589213
C22:4 CE,-0.387956226723972,18.80239510769932,-6.043963529694304,3.6713744717953175e-7,7.182462106895181e-5,6.264385204478735
QI3203,-0.7904673876880963,16.932269313192418,-5.938341167714428,5.193652442231648e-7,9.918639580747631e-5,5.923452479889619
QI3118,-2.4149132606598354,10.946167544247412,-5.867457909053675,6.554329406257101e-7,1.222611073664842e-4,5.69486045101077
QI3261,-0.4315998311645828,19.140352362861258,-5.750748084977198,9.611737432111464e-7,1.7521760441583192e-4,5.318954023810496
NH4_C22:4 CE,-0.4580982749018112,18.170742672769332,-5.722553103109394,1.0542492967801642e-6,1.879140802105266e-4,5.2282452348964785
QI7035,0.4468022232278024,18.400822847407166,5.690684955512006,1.1703052960720675e-6,2.040656256476968e-4,5.125773625124751
NH4_C58:7 TAG,-0.4769309302788791,19.69515865157973,-5.640998015235846,1.3771470038647428e-6,2.2794857990483932e-4,4.966129359338998
C58:10 TAG,-0.8678550024875342,16.07145925628873,-5.639841278154558,1.3823730267524802e-6,2.2794857990483932e-4,4.96241464145975
QI4931,-0.4723486971797559,16.801667638207203,-5.637605594476459,1.3925296615555574e-6,2.2794857990483932e-4,4.955235270313002
NH4_C52:6 TAG,-0.6980359478791129,15.672494706066992,-5.546895004221755,1.8737457288890666e-6,3.0058628982838404e-4,4.664232611019296
QI6214,-0.1480901866672788,22.304987299870998,-5.513264239419345,2.091488442073886e-6,3.2893781948773804e-4,4.556499435041436
QI3177,-0.4636155109496052,17.796585990522647,-5.443097886274899,2.6301272390335152e-6,4.0569712662091975e-4,4.332026153649986
QI3307,-0.5809164688543085,16.60850976516401,-5.43418485845477,2.7077535077389475e-6,4.097903940674358e-4,4.303542427911937
C58:11 TAG,-1.555160565906398,14.25269927908735,-5.376752711363606,3.2655153201318326e-6,4.8504997005143386e-4,4.120179396173128
QI4606,-0.5310076145797105,16.717813136350372,-5.3429140849964805,3.64611833726453e-6,5.317366396945236e-4,4.012291554815546
QI2536,0.42562398887344344,17.02195183073958,5.2899002320887165,4.332765518931277e-6,6.205912897740674e-4,3.843502378088976
QI3346,-0.7116674664167064,17.382789244648954,-5.186502451539687,6.062117402764051e-6,8.530569067994816e-4,3.515189098360544
QI5583,-0.5580943005451893,17.32537703054585,-5.164673679277855,6.506746033086072e-6,8.998381022652307e-4,3.4460387669191004
NH4_C58:9 TAG,-1.0386202195552539,16.008638845700535,-5.119675540926053,7.5277908212864545e-6,0.0010233967826701466,3.3036802336924644
QI6628,-0.4571052365573891,19.306838662859576,-5.061170698928779,9.095754641061258e-6,0.0012159507995992058,3.118988913652597
QI6502,-0.22038571464395673,20.272249097233356,-5.01972666545762,1.0398025090224309e-5,0.0013672550696506424,2.988442069453143
QI4642,-0.35133328144084075,17.79071552550238,-4.9344334069359705,1.3686012222502044e-5,0.0017439397967566042,2.7205657061287596
QI6500,-0.21862935770595726,19.593898321058475,-4.9341709452078,1.3697569778788937e-5,0.0017439397967566042,2.719743122359315
QI4813,-0.6513634874206602,16.97547134944752,-4.922220228666787,1.423416308403904e-5,0.0017839409702668303,2.6822997751225444
QI6588,-0.4951730290201155,15.782828956085606,-4.86926576111647,1.6872686024469474e-5,0.0020820894554195333,2.5166621210649414
QI7034,0.6284514508950849,14.123564574705114,4.808922789844753,2.0471195591720667e-5,0.002487870603654416,2.328485000278498
QI1097,0.5553309467829113,13.430113994239704,4.7942149193927674,2.1457244032514473e-5,0.002568784393802964,2.282714887990572
QI3904,-1.4983170604318143,13.508957921460242,-4.78116848098206,2.2371008183685005e-5,0.0026387920094314327,2.242147298912844
QI3394,-0.215178231970782,19.407641320315253,-4.755929767906292,2.4248929292107904e-5,0.0028188501717680797,2.163755460738093
QI3165,-0.5214600753046845,16.803556169597584,-4.748411280206437,2.483779932608454e-5,0.0028460569770646297,2.1404254729183965
QI3122,-0.7339077835095473,16.102247108287482,-4.734394414139637,2.5973505221383602e-5,0.0029342744419819417,2.0969589216446938
QI3194,-0.5357159044972022,16.376099030151895,-4.70828934238684,2.822664514942473e-5,0.0031445266769935523,2.0161051188638197
C52:7 TAG,-0.8420814065161988,15.426911485381579,-4.691664726909726,2.976072539632248e-5,0.003270010663067159,1.9646824698003673
C58:6 TAG,-0.24705971284931394,20.838514338971294,-4.657488157104007,3.317681422642669e-5,0.0035960976609482223,1.8591381502565856
QI4699,-0.40160530322544474,18.31639453472374,-4.637658431721836,3.533281540814612e-5,0.0037787268318498672,1.7980063567769236
QI7041,0.41176412386608163,15.211867181501177,4.586384793755912,4.156703928938046e-5,0.004386963449212114,1.640311040702585
NH4_C54:6 TAG,-0.4186811346400958,19.49035647285013,-4.489550478835874,5.642690680957961e-5,0.0058779249288264685,1.344023932445932
QI5363,-0.6583624742460774,13.018641925332313,-4.47701689463853,5.869657811432481e-5,0.006035964782756401,1.3058271498472624
NH4_C56:6 TAG,-0.34741119723258507,20.81864280129991,-4.457450178475678,6.242005158372032e-5,0.006337610553835704,1.2462687320021821
C54:6 TAG,-0.36751515298819726,20.914127380440025,-4.406123365279445,7.332308053289051e-5,0.007351555361928935,1.090463956209339
QI7096,0.29218273116324767,20.532746657365678,4.400633092056057,7.459439490002189e-5,0.007386686932013279,1.0738352877463768
C18:1 LPC,0.2927273777614019,21.57875957403594,4.388308850131983,7.752732279292125e-5,0.007583495806366114,1.0365349203566385
C40:9 PC,-0.1635013934662659,23.762068356377117,-4.365173692972736,8.33411474292793e-5,0.008053967994340354,0.9666150970946843
QI905,0.2852194390392313,19.32362767216885,4.356962677161731,8.550550734031023e-5,0.008122225004654177,0.941831421037925
QI3187,-0.3659645125520967,17.43532014099704,-4.354844542436665,8.607269983737751e-5,0.008122225004654177,0.9354408953194016
C34:0 DAG,0.22827110656338334,20.220690904016195,4.305203835206102,1.0047127650687176e-4,0.009370698940251375,0.7859979636937604
QI1444,-0.2362302198620405,19.08451370012944,-4.295040962184867,1.0369717789291126e-4,0.009560403033092428,0.7554808885085409
QI7205,0.2900061224056394,17.27941082010165,4.272951695533563,1.1106193043720267e-4,0.010123042545872755,0.6892446068134044
QI6335,-0.13299587778779198,21.725752929263724,-4.200596017582129,1.389453772092247e-4,0.012522256972979677,0.47319796369288714
NH4_C58:6 TAG,-0.31489646411299077,19.808856184902723,-4.138337147879175,1.6831793563824645e-4,0.015000868463937497,0.2884642309978336
QI4521,-0.9394926847666873,15.196368000100314,-4.103374646558121,1.8738077167947898e-4,0.016516276589462645,0.1852141919403305
QI1523,-0.18483949351918838,20.21843416801761,-4.093202466455917,1.9331125634559424e-4,0.016853799860304473,0.15524182498168582
QI7270,0.7571528152193849,19.77141146231993,4.086845073452247,1.9711005710887198e-4,0.017000212559895294,0.13652542230974696
QI1803,-2.2322585043787964,13.95415143024017,-4.069705774370756,2.0771712955399156e-4,0.017724458469708153,0.08612720345411873
QI2981,-1.4994957144242917,12.288680638955162,-4.0627439216543495,2.1218249272649434e-4,0.017914902885886434,0.06568120749217599
QI2838,0.5285537475965558,14.55558395628232,4.054939572387516,2.1729929491747977e-4,0.018134184483582942,0.042778462056332955
QI2140,-1.9934982704495336,14.708421284182922,-4.051934564565606,2.1930132089609096e-4,0.018134184483582942,0.03396489079875131
C52:5 TAG,-0.2754275303093259,19.361388864901773,-4.028678178456014,2.3541390571639906e-4,0.019267907528073846,-0.03415118652428539
QI6423,-0.20331379839909047,19.229080582563533,-4.0245830179312625,2.383678883475551e-4,0.019312614469047872,-0.04612823283248346
C14:0 LPC,0.33249660433220996,16.98362534787776,3.9883550681472695,2.661182558444241e-4,0.02134534530128126,-0.15185425822861376
C50:5 TAG,-0.43753277959188175,14.985734585236928,-3.9846874559730034,2.6909657461971154e-4,0.021370530940838676,-0.1625344836093845
QI6565,-0.21310556092181798,19.34008708565693,-3.977077859801,2.753796304353641e-4,0.021655098193353484,-0.18468019484706844
QI5286,0.9639899940104417,13.238133353549271,3.9418653332074065,3.063565890110938e-4,0.02378302032644129,-0.2869135427044949
QI731,0.747669998596578,18.771415882850196,3.939698089354579,3.0836979353570553e-4,0.02378302032644129,-0.2931925580476591
QI7228,1.1580799692545245,14.164755254767265,3.934901605103237,3.1287110001284186e-4,0.023900372316219092,-0.3070836152499812
QI4520,-0.43575728973074845,17.63258970728763,-3.9299555702455433,3.175794798441622e-4,0.02403117931915118,-0.32139985116868797
QI733,0.7604949565435959,13.154623696438719,3.912794469049115,3.3445479997349547e-4,0.02507160701483558,-0.3710096459126504
QI5809,-1.4441052845349294,15.297348866784805,-3.898556926511654,3.491121542084326e-4,0.02588412769228271,-0.4120934026598899
QI4796,-0.5161277989576618,16.838008945037608,-3.8937594290474546,3.541899071410372e-4,0.02588412769228271,-0.4259216944076112
QI1436,-0.2568201389013147,18.0664945493255,-3.8930236727732224,3.5497494653423487e-4,0.02588412769228271,-0.4280417497095854
QI7478,1.0029341174995885,12.403581789759125,3.8755346193105975,3.7413962803740876e-4,0.027035801409802305,-0.47838185533121536
