compound,logFC,AveExpr,t,P.Value,adj.P.Val,B
QI7812,11.469243838787236,16.551250824367877,238.02339708851815,2.491164311119991e-66,1.9981628939493447e-62,121.8304138787847
QI188,12.046437869393273,16.671631382743694,216.28720910513894,1.2874242585200169e-64,5.1632149887945276e-61,120.37671476890955
QI6756,8.843528961181025,13.647969727090464,188.52692296327956,3.688922177039762e-62,9.862948260678643e-59,117.97184658866061
QI7801,8.862518264858487,12.372049882302422,141.6775086370828,4.7257079732325514e-57,9.476225913324574e-54,111.71422907400301
QI1151,6.6938279153096065,13.757831641824927,109.46150163945426,1.9126605997951004e-52,3.0682901341913002e-49,104.65500988846776
QI1316,6.496150161390876,13.189783850640632,93.51160944968704,1.2314859601596459e-49,1.6462914810734199e-46,99.7696451291722
QI7800,6.857156831061095,11.696952290277139,86.43059456520338,3.114438652314367e-48,3.568701775744791e-45,97.18672979846316
QI6759,9.682083926827993,18.487228771823066,72.2895785824174,4.696917273802669e-45,4.709246681646401e-42,91.03361315623637
QI7799,6.554421685872544,11.713600393284029,71.82974647625313,6.098089378556315e-45,5.4347527672666885e-42,90.80720676236642
QI1131,5.919659186110655,13.439173765094695,68.01872185469252,5.666839937513802e-44,4.545372313879821e-41,88.8565575368409
QI7795,6.0601418711190735,11.46607540051787,63.2424410634262,1.1089002749236935e-42,8.085899186511768e-40,86.20879846295422
QI203,5.700371369520106,11.481187851238149,62.64643909392703,1.6320357670128316e-42,1.0908799072674934e-39,85.86115026895051
QI1133,4.837997333295538,13.04353305925253,57.79333628560723,4.371323433534161e-41,2.6971065584905775e-38,82.87289899880192
QI1239,12.653036121744584,17.277670685121212,54.102754010509116,6.4140976890268025e-40,3.6748198259774275e-37,80.39408573834275
QI193,8.690675221264447,12.47480666165245,51.44765719129012,4.957818842565091e-39,2.6511109957476396e-36,78.48641357080528
QI1234,4.9202575815780865,11.930344449289612,49.287372565200904,2.827316926998246e-38,1.4173693169658081e-35,76.84969040334013
QI7810,4.115595956466455,12.06875814548397,48.84886278754747,4.062194769401682e-38,1.9166390732571112e-35,76.50759991836827
QI206,4.3610234499116185,12.010000495912633,40.6449136834105,6.839877289022877e-35,3.0479253186251383e-32,69.40237809751977
QI6754,3.916260004008997,11.7169497105915,39.64537259191513,1.862168053843755e-34,7.86128945256882e-32,68.43252387562087
